,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace_x,w_df,w_svpt,w_1stIn_x,w_1stWon_x,w_2ndWon_x,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,w_1stIn_y,w_1stWon_y,w_2ndWon_y,w_ace_y,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,label,Unnamed: 0.1
902,1748,416.0,2021-0422,Cincinnati Masters,Hard,64.0,M,20210816.0,299.0,126094.0,4.0,,Andrey Rublev,R,188.0,RUS,23.8,106421.0,1.0,,Daniil Medvedev,R,198.0,RUS,25.5,2-6 6-3 6-3,3.0,SF,141.0,2.0,5.0,85.0,60.0,44.0,8.0,13.0,4.0,7.0,8.0,3.0,100.0,54.0,36.0,22.0,13.0,6.0,10.0,7.0,6005.0,2.0,10620.0,20210821-M-Cincinnati_Masters-SF-Andrey_Rublev-Daniil_Medvedev,8,9,17,11,85,33,60,44,8,1,15,5,16,13,100,42,1.0,47719.0
903,1750,417.0,2021-560,Us Open,Hard,128.0,G,20210830.0,163.0,106421.0,2.0,,Daniil Medvedev,R,198.0,RUS,25.5,104755.0,,,Richard Gasquet,R,185.0,FRA,35.2,6-4 6-3 6-1,5.0,R128,117.0,15.0,4.0,68.0,41.0,36.0,18.0,13.0,2.0,2.0,1.0,6.0,105.0,58.0,36.0,20.0,13.0,8.0,13.0,2.0,9980.0,79.0,918.0,20210831-M-US_Open-R128-Daniil_Medvedev-Richard_Gasquet,17,7,25,18,68,14,41,36,18,15,11,10,11,8,105,49,1.0,48532.0
904,1758,418.0,2021-560,Us Open,Hard,128.0,G,20210830.0,124.0,202195.0,,Q,Maxime Cressy,R,198.0,USA,24.3,105807.0,9.0,,Pablo Carreno Busta,R,188.0,ESP,30.1,5-7 4-6 6-1 6-4 7-6(7),5.0,R128,213.0,44.0,10.0,141.0,91.0,79.0,28.0,26.0,2.0,4.0,7.0,4.0,162.0,126.0,94.0,15.0,26.0,10.0,13.0,151.0,504.0,12.0,3325.0,20210831-M-US_Open-R128-Maxime_Cressy-Pablo_Carreno_Busta,22,12,12,8,141,34,90,78,29,47,20,14,20,10,162,53,1.0,48493.0
905,1761,419.0,2021-560,Us Open,Hard,128.0,G,20210830.0,109.0,104312.0,,,Andreas Seppi,R,190.0,ITA,37.5,105916.0,,,Marton Fucsovics,R,188.0,HUN,29.5,2-6 7-5 6-4 2-6 7-6(13),5.0,R128,244.0,9.0,5.0,163.0,92.0,70.0,33.0,26.0,4.0,9.0,9.0,9.0,157.0,88.0,69.0,39.0,25.0,3.0,6.0,89.0,873.0,41.0,1549.0,20210831-M-US_Open-R128-Andreas_Seppi-Marton_Fucsovics,21,12,30,22,162,59,92,71,32,10,16,8,42,31,157,49,1.0,48478.0
906,1762,420.0,2021-560,Us Open,Hard,128.0,G,20210830.0,224.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,34.2,100644.0,4.0,,Alexander Zverev,R,198.0,GER,24.3,4-6 6-2 6-4 4-6 6-2,5.0,SF,214.0,12.0,2.0,150.0,99.0,76.0,22.0,23.0,9.0,12.0,16.0,8.0,124.0,77.0,58.0,23.0,23.0,3.0,9.0,1.0,11113.0,4.0,8240.0,20210910-M-US_Open-SF-Novak_Djokovic-Alexander_Zverev,23,7,20,25,150,52,99,76,22,12,21,7,31,16,124,43,1.0,48593.0
907,1765,421.0,2021-560,Us Open,Hard,128.0,G,20210830.0,101.0,134868.0,,,Tallon Griekspoor,R,188.0,NED,25.1,105526.0,,,Jan Lennard Struff,R,193.0,GER,31.3,2-6 7-6(3) 4-6 6-4 7-5,5.0,R128,218.0,30.0,7.0,180.0,122.0,92.0,27.0,26.0,15.0,19.0,25.0,16.0,161.0,78.0,63.0,45.0,27.0,4.0,7.0,121.0,675.0,52.0,1275.0,20210831-M-US_Open-R128-Tallon_Griekspoor-Jan_Lennard_Struff,19,12,25,17,180,61,122,92,27,30,19,7,34,20,161,53,1.0,48470.0
908,1767,422.0,2014-429,Stockholm,Hard,28.0,A,20141013.0,24.0,105777.0,2.0,,Grigor Dimitrov,R,188.0,BUL,23.4,106058.0,,,Jack Sock,R,185.0,USA,22.0,5-7 6-4 6-3,3.0,QF,119.0,5.0,2.0,92.0,65.0,51.0,17.0,16.0,6.0,7.0,9.0,2.0,95.0,63.0,42.0,19.0,15.0,6.0,8.0,10.0,3745.0,51.0,871.0,20141017-M-Stockholm-QF-Grigor_Dimitrov-Jack_Sock,14,7,17,8,92,24,65,51,17,5,14,9,5,4,95,34,1.0,30672.0
909,1768,423.0,2013-573,Valencia,Hard,32.0,A,20131021.0,31.0,104022.0,,,Mikhail Youzhny,R,183.0,RUS,31.3,103970.0,1.0,,David Ferrer,R,175.0,ESP,31.5,6-3 7-5,3.0,F,84.0,5.0,2.0,62.0,37.0,27.0,13.0,11.0,3.0,5.0,1.0,1.0,59.0,37.0,23.0,11.0,10.0,4.0,8.0,21.0,1735.0,3.0,6800.0,20131027-M-Valencia-F-Mikhail_Youzhny-David_Ferrer,8,3,10,13,62,22,38,28,12,5,9,3,6,23,59,25,1.0,27858.0
910,1770,424.0,2010-407,Rotterdam,Hard,32.0,A,20100208.0,31.0,104417.0,3.0,,Robin Soderling,R,193.0,SWE,25.4,104022.0,6.0,,Mikhail Youzhny,R,183.0,RUS,27.6,6-4 2-0 RET,3.0,F,54.0,4.0,2.0,34.0,18.0,13.0,7.0,6.0,1.0,3.0,1.0,1.0,32.0,22.0,11.0,3.0,6.0,1.0,5.0,8.0,3375.0,20.0,1770.0,20100214-M-Rotterdam-F-Robin_Soderling-Mikhail_Youzhny,2,3,3,7,34,14,17,12,8,4,10,3,9,9,32,18,1.0,16359.0
911,1771,425.0,2012-807,Acapulco,Clay,32.0,A,20120227.0,31.0,103970.0,1.0,,David Ferrer,R,175.0,ESP,29.9,104269.0,8.0,,Fernando Verdasco,L,188.0,ESP,28.2,6-1 6-2,3.0,F,70.0,2.0,1.0,39.0,25.0,22.0,10.0,8.0,0.0,0.0,1.0,4.0,50.0,38.0,19.0,4.0,7.0,6.0,10.0,6.0,4345.0,27.0,1320.0,20120304-M-Acapulco-F-David_Ferrer-Fernando_Verdasco,6,1,7,15,39,7,25,22,10,2,9,3,3,3,50,27,1.0,22661.0
912,1783,426.0,2021-0404,Indian Wells Masters,Hard,128.0,M,20211004.0,293.0,105777.0,23.0,,Grigor Dimitrov,R,188.0,BUL,30.3,106421.0,1.0,,Daniil Medvedev,R,198.0,RUS,25.6,4-6 6-4 6-3,3.0,R16,134.0,1.0,5.0,90.0,72.0,46.0,7.0,15.0,2.0,7.0,5.0,6.0,81.0,44.0,29.0,14.0,14.0,4.0,10.0,28.0,1881.0,2.0,10575.0,20211013-M-Indian_Wells_Masters-R16-Grigor_Dimitrov-Daniil_Medvedev,6,6,12,16,90,37,72,46,7,1,15,9,16,21,81,38,1.0,47396.0
913,1784,427.0,2021-0404,Indian Wells Masters,Hard,128.0,M,20211004.0,247.0,104918.0,,WC,Andy Murray,R,190.0,GBR,34.3,207989.0,30.0,,Carlos Alcaraz,R,185.0,ESP,18.4,5-7 6-3 6-2,3.0,R64,183.0,3.0,3.0,101.0,60.0,40.0,23.0,15.0,8.0,10.0,3.0,3.0,96.0,60.0,37.0,17.0,14.0,7.0,11.0,121.0,661.0,38.0,1499.0,20211010-M-Indian_Wells_Masters-R64-Andy_Murray-Carlos_Alcaraz,25,8,29,24,101,38,60,40,23,4,10,5,13,20,96,42,1.0,47350.0
914,1793,428.0,2021-7485,Antwerp,Hard,32.0,A,20211018.0,295.0,202385.0,,Q,Jenson Brooksby,R,188.0,USA,20.9,200221.0,,,Alejandro Davidovich Fokina,R,183.0,ESP,22.3,7-5 6-0,3.0,QF,103.0,0.0,1.0,61.0,36.0,26.0,13.0,9.0,3.0,4.0,3.0,4.0,76.0,51.0,30.0,7.0,9.0,10.0,15.0,70.0,947.0,44.0,1325.0,20211022-M-Antwerp-QF-Jenson_Brooksby-Alejandro_Davidovich_Fokina,10,8,24,17,61,22,36,26,13,0,5,4,7,6,76,39,1.0,48899.0
915,1806,429.0,2021-560,Us Open,Hard,128.0,G,20210830.0,219.0,106421.0,2.0,,Daniil Medvedev,R,198.0,RUS,25.5,105554.0,24.0,,Daniel Evans,R,175.0,GBR,31.2,6-3 6-4 6-3,5.0,R16,103.0,13.0,2.0,78.0,56.0,47.0,11.0,14.0,1.0,2.0,0.0,3.0,77.0,51.0,32.0,9.0,14.0,3.0,8.0,2.0,9980.0,27.0,2074.0,20210905-M-US_Open-R16-Daniil_Medvedev-Daniel_Evans,17,6,8,12,78,20,56,47,11,13,15,10,11,14,77,36,1.0,48588.0
916,1809,430.0,2021-0352,Paris Masters,Hard,64.0,M,20211101.0,264.0,124187.0,,,Reilly Opelka,R,211.0,USA,24.1,105936.0,,,Filip Krajinovic,R,185.0,SRB,29.6,6-3 7-6(4),3.0,R64,79.0,19.0,2.0,60.0,33.0,28.0,21.0,11.0,0.0,0.0,4.0,3.0,63.0,38.0,32.0,11.0,10.0,1.0,2.0,25.0,1891.0,42.0,1402.0,20211102-M-Paris_Masters-R64-Reilly_Opelka-Filip_Krajinovic,6,5,2,11,60,11,33,28,21,19,14,6,8,12,63,20,1.0,47151.0
