,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,87,43,19,22,0,19751219,M,Davis_Cup_World_Group_F,RR
4,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,79,52,17,26,2,19751219,M,Davis_Cup_World_Group_F,RR
8,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,88,33,20,13,0,19780125,M,Pepsi_Grand_Slam,SF
12,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,132,45,19,10,2,19780125,M,Pepsi_Grand_Slam,SF
16,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,43,25,40,17,2,19800705,M,Wimbledon,F
20,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,58,29,36,18,0,19800705,M,Wimbledon,F
24,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,256,152,43,49,10,19810607,M,Roland_Garros,F
28,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,279,139,34,59,9,19810607,M,Roland_Garros,F
32,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,52,37,20,13,1,19810704,M,Wimbledon,F
36,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,66,48,30,24,3,19810704,M,Wimbledon,F
40,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,96,69,21,9,0,19810913,M,US_Open,F
44,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,115,70,28,31,0,19810913,M,US_Open,F
48,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,191,131,43,58,2,19820912,M,US_Open,F
52,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,166,169,56,42,3,19820912,M,US_Open,F
56,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,46,42,19,12,0,19840506,M,Forest_Hills_WCT,F
60,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,61,48,21,13,1,19840506,M,Forest_Hills_WCT,F
64,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,17,14,9,9,1,19840909,M,US_Open,F
68,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,35,21,9,8,1,19840909,M,US_Open,F
72,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Boris Becker,Total,11,5,13,4,0,19850707,M,Wimbledon,F
76,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Kevin Curren,Total,12,10,9,10,0,19850707,M,Wimbledon,F
80,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,20,18,6,3,0,19850908,M,US_Open,F
84,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,38,15,12,17,5,19850908,M,US_Open,F
88,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,13,15,9,7,0,19870901,M,US_Open,QF
92,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,32,16,16,14,2,19870901,M,US_Open,QF
96,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Mats Wilander,Total,371,278,100,95,5,19880911,M,US_Open,F
100,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Ivan Lendl,Total,350,288,103,149,23,19880911,M,US_Open,F
104,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,13,4,9,3,0,19890709,M,Wimbledon,F
108,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,6,5,6,5,0,19890709,M,Wimbledon,F
112,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,101,81,29,48,2,19890910,M,US_Open,F
116,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,137,92,31,56,6,19890910,M,US_Open,F
120,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Total,130,124,47,59,10,19900128,M,Australian_Open,F
124,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Stefan Edberg,Total,165,91,26,42,3,19900128,M,Australian_Open,F
128,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,4,3,6,2,0,19900611,M,Queens_Club,F
131,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,2,3,2,1,0,19900611,M,Queens_Club,F
135,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Andre Agassi,Total,78,56,30,34,4,19900909,M,US_Open,F
139,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Pete Sampras,Total,48,48,27,26,1,19900909,M,US_Open,F
143,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Ivan Lendl,Total,95,70,38,36,7,19910127,M,Australian_Open,F
147,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Boris Becker,Total,105,56,46,31,1,19910127,M,Australian_Open,F
151,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,45,44,17,22,6,19910908,M,US_Open,F
155,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,34,26,11,8,0,19910908,M,US_Open,F
159,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,79,48,32,37,6,19920126,M,Australian_Open,F
163,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,82,22,23,7,0,19920126,M,Australian_Open,F
167,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,John Mcenroe,Total,16,15,9,5,0,19920704,M,Wimbledon,SF
171,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,Andre Agassi,Total,44,23,23,16,1,19920704,M,Wimbledon,SF
175,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Pete Sampras,Total,33,22,33,22,4,19920913,M,US_Open,F
179,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Stefan Edberg,Total,49,11,19,11,0,19920913,M,US_Open,F
183,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Cedric Pioline,Total,68,77,19,41,1,19930912,M,US_Open,F
187,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Pete Sampras,Total,83,65,8,28,1,19930912,M,US_Open,F
191,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,97,53,48,18,5,19950129,M,Australian_Open,F
195,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,146,43,28,25,10,19950129,M,Australian_Open,F
199,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,14,1,8,1,0,19950709,M,Wimbledon,F
203,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,8,2,7,3,0,19950709,M,Wimbledon,F
207,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,98,48,29,19,4,19950910,M,US_Open,F
211,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,126,39,26,45,5,19950910,M,US_Open,F
215,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Michael Chang,Total,65,65,39,15,3,19960128,M,Australian_Open,F
219,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Boris Becker,Total,61,30,25,23,1,19960128,M,Australian_Open,F
223,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Pete Sampras,Total,78,28,20,21,8,19960908,M,US_Open,F
227,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Michael Chang,Total,82,28,15,26,8,19960908,M,US_Open,F
231,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,17,11,12,4,0,19961119,M,Tour_Finals,RR
235,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,28,10,7,5,0,19961119,M,Tour_Finals,RR
239,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Sergi Bruguera,Total,125,100,39,58,5,19970608,M,Roland_Garros,F
243,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Gustavo Kuerten,Total,147,80,23,61,15,19970608,M,Roland_Garros,F
247,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Patrick Rafter,Total,23,12,15,7,1,19970907,M,US_Open,F
251,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Greg Rusedski,Total,23,12,16,6,1,19970907,M,US_Open,F
255,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,29,12,9,5,3,19970923,M,Grand_Slam_Cup,QF
259,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,34,8,8,5,0,19970923,M,Grand_Slam_Cup,QF
263,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Pete Sampras,Total,24,14,10,16,2,19971020,M,Stuttgart_Masters,R32
267,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Magnus Gustafsson,Total,16,28,8,21,1,19971020,M,Stuttgart_Masters,R32
271,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Pete Sampras,Total,82,26,22,11,4,19971027,M,Paris_Masters,SF
275,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,94,22,22,17,3,19971027,M,Paris_Masters,SF
279,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Patrick Rafter,Total,14,5,7,2,0,19971110,M,Tour_Finals,RR
282,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Pete Sampras,Total,19,4,5,5,2,19971110,M,Tour_Finals,RR
286,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,50,13,16,15,7,19971110,M,Tour_Finals,SF
290,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,53,12,18,8,0,19971110,M,Tour_Finals,SF
294,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Petr Korda,Total,76,24,16,18,2,19980201,M,Australian_Open,F
298,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Marcelo Rios,Total,55,32,21,20,2,19980201,M,Australian_Open,F
302,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,36,16,7,8,0,19980209,M,San_Jose,F
306,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,44,20,16,11,0,19980209,M,San_Jose,F
310,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Pete Sampras,Total,35,26,15,16,6,19980223,M,Philadelphia,F
314,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Thomas Enqvist,Total,56,16,14,26,1,19980223,M,Philadelphia,F
318,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Goran Ivanisevic,Total,18,4,15,6,1,19980705,M,Wimbledon,F
322,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Pete Sampras,Total,12,2,9,7,0,19980705,M,Wimbledon,F
326,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Yevgeny Kafelnikov,Total,46,12,11,17,0,19980810,M,Cincinnati_Masters,SF
330,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Patrick Rafter,Total,41,11,13,4,0,19980810,M,Cincinnati_Masters,SF
334,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,57,10,10,13,6,19980817,M,New_Haven,R32
338,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,61,22,10,9,2,19980817,M,New_Haven,R32
342,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Todd Woodbridge,Total,50,24,24,24,1,19981102,M,Paris_Masters,R32
346,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Marcelo Rios,Total,46,36,14,14,2,19981102,M,Paris_Masters,R32
350,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Pete Sampras,Total,16,3,5,1,1,19981123,M,Tour_Finals,RR
354,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Carlos Moya,Total,11,6,5,8,1,19981123,M,Tour_Finals,RR
358,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Pete Sampras,Total,39,13,9,3,0,19981123,M,Tour_Finals,RR
362,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Karol Kucera,Total,41,16,12,10,0,19981123,M,Tour_Finals,RR
366,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Marcelo Rios,Total,160,51,46,29,3,19990508,M,Hamburg_Masters,SF
370,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Carlos Moya,Total,113,62,54,36,21,19990508,M,Hamburg_Masters,SF
374,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Todd Martin,Total,84,63,27,22,3,19990912,M,US_Open,F
378,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Andre Agassi,Total,120,60,23,25,4,19990912,M,US_Open,F
382,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,19,10,4,4,0,19991122,M,Tour_Finals,RR
386,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,29,11,7,9,0,19991122,M,Tour_Finals,RR
390,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Bob Bryan,Total,8,9,5,5,0,20000612,M,Queens_Club,QF
394,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Pete Sampras,Total,16,7,1,4,1,20000612,M,Queens_Club,QF
398,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Pete Sampras,Total,54,27,8,8,6,20000910,M,US_Open,F
402,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Marat Safin,Total,86,34,19,10,0,20000910,M,US_Open,F
406,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Marat Safin,Total,106,45,34,8,1,20001127,M,Tour_Finals,SF
410,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Andre Agassi,Total,126,35,19,14,1,20001127,M,Tour_Finals,SF
414,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Nicolas Lapentti,Total,46,47,18,20,5,20010312,M,Indian_Wells,QF
418,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Andre Agassi,Total,65,32,12,20,1,20010312,M,Indian_Wells,QF
422,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Pete Sampras,Total,22,5,9,8,1,20010319,M,Miami_Masters,R32
426,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Andy Roddick,Total,30,13,5,15,2,20010319,M,Miami_Masters,R32
430,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Roger Federer,Total,30,14,18,19,2,20010702,M,Wimbledon,R16
434,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Pete Sampras,Total,25,9,19,11,0,20010702,M,Wimbledon,R16
438,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Goran Ivanisevic,Total,22,5,9,5,2,20010709,M,Wimbledon,F
442,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Patrick Rafter,Total,9,3,8,5,1,20010709,M,Wimbledon,F
446,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,45,26,14,6,4,20010909,M,US_Open,F
450,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,66,28,9,30,3,20010909,M,US_Open,F
454,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Patrick Rafter,Total,39,11,5,2,1,20011112,M,Masters_Cup,RR
458,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Andre Agassi,Total,53,12,25,14,7,20011112,M,Masters_Cup,RR
462,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,49,12,8,8,4,20020428,M,Houston,SF
466,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,52,13,16,12,1,20020428,M,Houston,SF
470,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,David Nalbandian,Total,215,86,32,24,3,20020707,M,Wimbledon,F
474,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,Lleyton Hewitt,Total,183,89,34,51,1,20020707,M,Wimbledon,F
478,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,69,18,11,14,2,20020908,M,US_Open,F
482,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,87,35,26,15,1,20020908,M,US_Open,F
486,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Andre Agassi,Total,104,37,23,9,3,20021111,M,Masters_Cup,RR
490,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Jiri Novak,Total,69,52,34,21,0,20021111,M,Masters_Cup,RR
494,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Rainer Schuettler,Total,110,60,36,12,4,20030126,M,Australian_Open,F
498,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Andre Agassi,Total,140,26,25,23,6,20030126,M,Australian_Open,F
502,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,David Ferrer,Total,95,59,29,34,2,20030505,M,Rome_Masters,R64
506,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,Andre Agassi,Total,119,25,36,26,0,20030505,M,Rome_Masters,R64
510,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Roger Federer,Total,39,17,13,15,2,20030804,M,Canada_Masters,R16
514,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Tommy Robredo,Total,25,18,15,23,6,20030804,M,Canada_Masters,R16
518,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Andy Roddick,Total,82,41,10,23,3,20030907,M,US_Open,F
522,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,69,58,23,27,8,20030907,M,US_Open,F
526,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Roger Federer,Total,45,24,8,6,1,20031110,M,Masters_Cup,RR
530,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,49,21,11,10,1,20031110,M,Masters_Cup,RR
534,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Gaston Gaudio,Total,278,240,47,75,5,20040606,M,Roland_Garros,F
538,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Guillermo Coria,Total,207,286,75,70,17,20040606,M,Roland_Garros,F
542,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,93,56,24,36,6,20040704,M,Wimbledon,F
546,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,101,45,24,48,9,20040704,M,Wimbledon,F
550,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Andy Roddick,Total,29,34,10,20,1,20040726,M,Canada_Masters,R32
554,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Feliciano Lopez,Total,37,30,13,25,0,20040726,M,Canada_Masters,R32
558,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Karol Beck,Total,71,32,15,24,5,20041025,M,St_Petersburg,F
562,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Mikhail Youzhny,Total,58,44,25,10,0,20041025,M,St_Petersburg,F
566,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Roger Federer,Total,51,26,11,8,0,20050221,M,Dubai,SF
570,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Andre Agassi,Total,38,23,11,19,2,20050221,M,Dubai,SF
574,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Roger Federer,Total,75,37,22,25,3,20050318,M,Indian_Wells_Masters,SF
578,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Guillermo Canas,Total,70,32,13,32,9,20050318,M,Indian_Wells_Masters,SF
582,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,73,43,22,21,5,20050703,M,Wimbledon,F
586,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,57,35,25,34,6,20050703,M,Wimbledon,F
590,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Roger Federer,Total,115,89,32,29,5,20050911,M,US_Open,F
594,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Andre Agassi,Total,148,62,27,41,6,20050911,M,US_Open,F
598,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,David Nalbandian,Total,123,32,53,35,3,20060123,M,Australian_Open,QF
602,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,Fabrice Santoro,Total,73,37,14,5,1,20060123,M,Australian_Open,QF
606,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,145,123,41,66,11,20060611,M,Roland_Garros,F
610,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,146,120,43,46,20,20060611,M,Roland_Garros,F
614,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Roger Federer,Total,54,38,17,34,2,20060627,M,Wimbledon,R128
618,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,64,42,18,16,1,20060627,M,Wimbledon,R128
622,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Roger Federer,Total,106,70,37,28,6,20070909,M,US_Open,F
626,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,112,59,23,42,2,20070909,M,US_Open,F
630,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,56,18,27,19,6,20071022,M,Basel,R16
634,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,69,18,17,11,3,20071022,M,Basel,R16
638,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Roger Federer,Total,59,31,27,14,2,20071028,M,Basel,F
642,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Jarkko Nieminen,Total,53,21,43,19,0,20071028,M,Basel,F
646,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,Rafael Nadal,Total,65,29,22,17,2,20071028,M,Paris_Masters,F
650,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,David Nalbandian,Total,79,26,19,19,0,20071028,M,Paris_Masters,F
654,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Total,71,45,25,30,4,20071112,M,Masters_Cup,RR
658,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Richard Gasquet,Total,98,45,18,13,1,20071112,M,Masters_Cup,RR
662,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,46,23,19,16,3,20071112,M,Masters_Cup,SF
666,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,62,24,12,10,0,20071112,M,Masters_Cup,SF
670,20080608-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,92,88,39,30,11,20080608,M,Roland_Garros,F
674,20080608-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,128,71,30,26,3,20080608,M,Roland_Garros,F
678,20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal,Andy Roddick,Total,56,51,14,17,1,20080614,M,Queens_Club,SF
682,20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal,Rafael Nadal,Total,65,24,32,35,1,20080614,M,Queens_Club,SF
686,20080727-M-Canada_Masters-F-Nicolas_Kiefer-Rafael_Nadal,Nicolas Kiefer,Total,66,27,21,12,1,20080727,M,Canada_Masters,F
690,20080727-M-Canada_Masters-F-Nicolas_Kiefer-Rafael_Nadal,Rafael Nadal,Total,62,31,19,20,2,20080727,M,Canada_Masters,F
694,20080802-M-Cincinnati_Masters-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,65,27,28,27,0,20080802,M,Cincinnati_Masters,SF
698,20080802-M-Cincinnati_Masters-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,77,35,17,8,2,20080802,M,Cincinnati_Masters,SF
702,20080817-M-Olympics-F-Rafael_Nadal-Fernando_Gonzalez,Rafael Nadal,Total,96,51,43,40,14,20080817,M,Olympics,F
706,20080817-M-Olympics-F-Rafael_Nadal-Fernando_Gonzalez,Fernando Gonzalez,Total,93,54,27,49,13,20080817,M,Olympics,F
710,20080908-M-US_Open-F-Roger_Federer-Andy_Murray,Roger Federer,Total,92,74,32,38,11,20080908,M,US_Open,F
714,20080908-M-US_Open-F-Roger_Federer-Andy_Murray,Andy Murray,Total,88,76,36,42,2,20080908,M,US_Open,F
718,20090130-M-Australian_Open-SF-Fernando_Verdasco-Rafael_Nadal,Fernando Verdasco,Total,203,140,68,99,8,20090130,M,Australian_Open,SF
722,20090130-M-Australian_Open-SF-Fernando_Verdasco-Rafael_Nadal,Rafael Nadal,Total,197,173,63,68,11,20090130,M,Australian_Open,SF
726,20090201-M-Australian_Open-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,230,154,85,62,17,20090201,M,Australian_Open,F
730,20090201-M-Australian_Open-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,301,120,83,60,9,20090201,M,Australian_Open,F
734,20090405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,93,37,35,33,3,20090405,M,Miami_Masters,F
738,20090405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,108,53,25,24,3,20090405,M,Miami_Masters,F
742,20090503-M-Rome_Masters-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,114,80,24,44,6,20090503,M,Rome_Masters,SF
746,20090503-M-Rome_Masters-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,91,86,24,45,5,20090503,M,Rome_Masters,SF
