,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
19163,20220118-M-Australian_Open-R128-Lorenzo_Musetti-Alex_De_Minaur,Lorenzo Musetti,Total,147,89,35,56,2,20220118,M,Australian_Open,R128
19167,20220118-M-Australian_Open-R128-Lorenzo_Musetti-Alex_De_Minaur,Alex De Minaur,Total,119,82,49,69,10,20220118,M,Australian_Open,R128
19171,20220304-M-Davis_Cup_Qualifiers-RR-Alexis_Galarneau-Botic_Van_De_Zandschulp,Alexis Galarneau,Total,110,73,34,51,8,20220304,M,Davis_Cup_Qualifiers,RR
19175,20220304-M-Davis_Cup_Qualifiers-RR-Alexis_Galarneau-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,Total,151,68,22,52,4,20220304,M,Davis_Cup_Qualifiers,RR
19179,20220304-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Steven_Diez,Tallon Griekspoor,Total,66,30,9,20,11,20220304,M,Davis_Cup_Qualifiers,RR
19183,20220304-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Steven_Diez,Steven Diez,Total,46,34,15,42,5,20220304,M,Davis_Cup_Qualifiers,RR
19187,20220227-M-Santiago-F-Pedro_Martinez-Sebastian_Baez,Pedro Martinez,Total,95,115,40,39,1,20220227,M,Santiago,F
19191,20220227-M-Santiago-F-Pedro_Martinez-Sebastian_Baez,Sebastian Baez,Total,122,97,29,59,5,20220227,M,Santiago,F
19195,20220223-M-Santiago-R16-Sebastian_Baez-Juan_Ignacio_Londero,Sebastian Baez,Total,63,32,13,13,4,20220223,M,Santiago,R16
19199,20220223-M-Santiago-R16-Sebastian_Baez-Juan_Ignacio_Londero,Juan Ignacio Londero,Total,44,16,21,48,7,20220223,M,Santiago,R16
19203,19730603-M-Roland_Garros-F-Nikola_Pilic-Ilie_Nastase,Nikola Pilic,Total,39,29,21,20,5,19730603,M,Roland_Garros,F
19207,19730603-M-Roland_Garros-F-Nikola_Pilic-Ilie_Nastase,Ilie Nastase,Total,51,35,27,18,1,19730603,M,Roland_Garros,F
19211,20190102-M-Brisbane-R16-Andy_Murray-Daniil_Medvedev,Andy Murray,Total,47,86,6,19,0,20190102,M,Brisbane,R16
19215,20190102-M-Brisbane-R16-Andy_Murray-Daniil_Medvedev,Daniil Medvedev,Total,37,85,9,25,0,20190102,M,Brisbane,R16
19219,20190505-M-Madrid_Masters-R64-Nick_Kyrgios-Jan_Lennard_Struff,Nick Kyrgios,Total,13,39,1,9,1,20190505,M,Madrid_Masters,R64
19223,20190505-M-Madrid_Masters-R64-Nick_Kyrgios-Jan_Lennard_Struff,Jan Lennard Struff,Total,28,33,7,13,0,20190505,M,Madrid_Masters,R64
19227,20190529-M-Roland_Garros-R64-Stan_Wawrinka-Cristian_Garin,Stan Wawrinka,Total,65,90,16,32,0,20190529,M,Roland_Garros,R64
19231,20190529-M-Roland_Garros-R64-Stan_Wawrinka-Cristian_Garin,Cristian Garin,Total,60,105,8,23,0,20190529,M,Roland_Garros,R64
19235,20211011-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Reilly_Opelka,Grigor Dimitrov,Total,24,45,5,8,0,20211011,M,Indian_Wells_Masters,R32
19239,20211011-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Reilly_Opelka,Reilly Opelka,Total,12,41,6,14,0,20211011,M,Indian_Wells_Masters,R32
19243,20211104-M-Paris_Masters-R16-Casper_Ruud-Marcos_Giron,Casper Ruud,Total,57,70,10,22,1,20211104,M,Paris_Masters,R16
19247,20211104-M-Paris_Masters-R16-Casper_Ruud-Marcos_Giron,Marcos Giron,Total,32,86,8,26,1,20211104,M,Paris_Masters,R16
19251,20210905-M-US_Open-R32-Reilly_Opelka-Nikoloz_Basilashvili,Reilly Opelka,Total,33,83,7,18,0,20210905,M,US_Open,R32
19255,20210905-M-US_Open-R32-Reilly_Opelka-Nikoloz_Basilashvili,Nikoloz Basilashvili,Total,34,88,10,24,0,20210905,M,US_Open,R32
