,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,63,36,53,34,51,34,0,299,19751219,M,Davis_Cup_World_Group_F,RR
21,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,69,23,57,22,54,22,1,329,19751219,M,Davis_Cup_World_Group_F,RR
42,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,49,14,41,12,38,12,0,307,19780125,M,Pepsi_Grand_Slam,SF
63,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,55,25,47,24,46,24,1,281,19780125,M,Pepsi_Grand_Slam,SF
84,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,196,65,175,57,132,57,7,623,19800705,M,Wimbledon,F
105,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,180,61,151,58,107,58,16,396,19800705,M,Wimbledon,F
126,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,73,37,64,35,63,35,1,626,19810607,M,Roland_Garros,F
146,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,73,29,59,27,59,27,1,678,19810607,M,Roland_Garros,F
167,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,139,49,107,46,102,46,3,531,19810704,M,Wimbledon,F
188,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,150,49,94,41,90,41,9,387,19810704,M,Wimbledon,F
209,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,112,50,84,43,81,43,3,537,19810913,M,US_Open,F
230,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,113,42,78,35,72,35,7,344,19810913,M,US_Open,F
250,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,127,59,95,56,92,56,1,659,19820912,M,US_Open,F
271,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,114,41,97,39,91,39,1,615,19820912,M,US_Open,F
292,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,59,27,44,25,42,25,1,268,19840506,M,Forest_Hills_WCT,F
313,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,55,19,34,14,33,14,3,201,19840506,M,Forest_Hills_WCT,F
334,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,83,36,69,35,67,35,2,282,19840909,M,US_Open,F
355,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,72,17,34,11,32,11,3,155,19840909,M,US_Open,F
374,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Boris Becker,Total,136,50,86,44,73,44,12,316,19850707,M,Wimbledon,F
395,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Kevin Curren,Total,120,35,66,28,65,28,4,300,19850707,M,Wimbledon,F
415,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,88,21,61,17,55,17,2,255,19850908,M,US_Open,F
436,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,88,31,63,30,57,30,6,232,19850908,M,US_Open,F
457,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,75,17,44,14,43,14,0,227,19870901,M,US_Open,QF
478,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,87,33,50,26,48,26,6,189,19870901,M,US_Open,QF
499,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Mats Wilander,Total,146,56,123,54,120,54,2,1038,19880911,M,US_Open,F
520,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Ivan Lendl,Total,181,71,161,71,156,71,7,1456,19880911,M,US_Open,F
541,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,93,41,70,39,66,39,11,232,19890709,M,Wimbledon,F
561,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,91,29,63,25,59,25,9,254,19890709,M,Wimbledon,F
581,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,125,48,98,43,95,43,2,598,19890910,M,US_Open,F
601,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,143,57,85,46,81,46,5,455,19890910,M,US_Open,F
622,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Total,109,51,83,42,79,42,3,467,19900128,M,Australian_Open,F
642,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Stefan Edberg,Total,90,37,72,32,69,32,0,624,19900128,M,Australian_Open,F
662,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,53,16,22,10,20,10,2,105,19900611,M,Queens_Club,F
683,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,58,27,36,22,32,22,13,118,19900611,M,Queens_Club,F
704,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Andre Agassi,Total,72,17,45,16,41,16,1,196,19900909,M,US_Open,F
725,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Pete Sampras,Total,99,43,87,42,82,42,1,447,19900909,M,US_Open,F
745,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Ivan Lendl,Total,108,41,75,38,72,38,4,418,19910127,M,Australian_Open,F
766,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Boris Becker,Total,106,40,75,37,71,37,4,421,19910127,M,Australian_Open,F
787,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,64,14,44,13,43,13,4,165,19910908,M,US_Open,F
807,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,89,45,77,41,73,41,1,362,19910908,M,US_Open,F
827,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,123,52,85,45,83,45,12,314,19920126,M,Australian_Open,F
848,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,113,39,91,37,81,37,1,518,19920126,M,Australian_Open,F
869,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,John Mcenroe,Total,80,26,58,25,57,25,1,285,19920704,M,Wimbledon,SF
890,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,Andre Agassi,Total,78,38,47,31,47,31,6,185,19920704,M,Wimbledon,SF
911,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Pete Sampras,Total,121,39,81,34,78,34,10,329,19920913,M,US_Open,F
932,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Stefan Edberg,Total,134,51,90,40,83,40,4,374,19920913,M,US_Open,F
953,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Cedric Pioline,Total,70,19,36,15,32,15,2,201,19930912,M,US_Open,F
974,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Pete Sampras,Total,102,46,70,38,69,38,0,464,19930912,M,US_Open,F
994,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,118,38,84,34,78,34,3,492,19950129,M,Australian_Open,F
1014,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,139,55,86,49,76,49,7,390,19950129,M,Australian_Open,F
1035,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,140,56,84,41,75,41,12,299,19950709,M,Wimbledon,F
1055,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,105,24,45,17,43,17,5,206,19950709,M,Wimbledon,F
1076,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,115,38,89,33,81,33,1,496,19950910,M,US_Open,F
1094,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,121,35,66,29,58,29,0,328,19950910,M,US_Open,F
1114,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Michael Chang,Total,103,34,65,27,63,27,6,314,19960128,M,Australian_Open,F
1135,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Boris Becker,Total,111,43,81,37,67,37,0,414,19960128,M,Australian_Open,F
1156,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Pete Sampras,Total,74,25,54,22,49,22,1,304,19960908,M,US_Open,F
1177,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Michael Chang,Total,95,26,55,22,54,22,4,287,19960908,M,US_Open,F
1198,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,43,24,33,22,30,22,2,129,19961119,M,Tour_Finals,RR
1219,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,38,6,19,6,17,6,1,84,19961119,M,Tour_Finals,RR
1239,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Sergi Bruguera,Total,83,25,70,25,66,25,1,402,19970608,M,Roland_Garros,F
1259,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Gustavo Kuerten,Total,112,53,102,52,100,52,1,638,19970608,M,Roland_Garros,F
1280,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Patrick Rafter,Total,123,51,76,47,75,47,6,332,19970907,M,US_Open,F
1301,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Greg Rusedski,Total,105,32,67,27,64,27,1,282,19970907,M,US_Open,F
1322,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,77,28,42,22,40,22,2,217,19970923,M,Grand_Slam_Cup,QF
1343,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,61,16,31,13,31,13,1,138,19970923,M,Grand_Slam_Cup,QF
1362,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Pete Sampras,Total,56,22,30,16,30,16,1,176,19971020,M,Stuttgart_Masters,R32
1383,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Magnus Gustafsson,Total,71,27,40,25,37,25,2,168,19971020,M,Stuttgart_Masters,R32
1404,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Pete Sampras,Total,69,31,57,29,56,29,3,312,19971027,M,Paris_Masters,SF
1425,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,64,23,36,18,36,18,1,194,19971027,M,Paris_Masters,SF
1445,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Patrick Rafter,Total,40,8,23,7,23,7,0,111,19971110,M,Tour_Finals,RR
1466,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Pete Sampras,Total,61,31,44,27,43,27,11,152,19971110,M,Tour_Finals,RR
1487,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,65,28,53,25,53,25,2,262,19971110,M,Tour_Finals,SF
1508,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,62,17,36,16,34,16,2,164,19971110,M,Tour_Finals,SF
1529,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Petr Korda,Total,71,38,51,34,48,34,3,221,19980201,M,Australian_Open,F
1549,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Marcelo Rios,Total,77,25,53,21,51,21,1,260,19980201,M,Australian_Open,F
1570,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,52,13,40,12,38,12,1,196,19980209,M,San_Jose,F
1591,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,66,27,36,21,35,21,4,153,19980209,M,San_Jose,F
1612,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Pete Sampras,Total,62,21,40,19,40,19,0,249,19980223,M,Philadelphia,F
1633,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Thomas Enqvist,Total,70,20,43,18,42,18,5,180,19980223,M,Philadelphia,F
1654,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Goran Ivanisevic,Total,155,43,78,35,76,35,8,332,19980705,M,Wimbledon,F
1675,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Pete Sampras,Total,178,61,75,41,75,41,8,335,19980705,M,Wimbledon,F
1695,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Yevgeny Kafelnikov,Total,47,10,30,10,28,10,2,105,19980810,M,Cincinnati_Masters,SF
1716,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Patrick Rafter,Total,53,26,42,24,39,24,1,233,19980810,M,Cincinnati_Masters,SF
1737,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,58,26,40,22,39,22,2,220,19980817,M,New_Haven,R32
1758,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,65,20,41,19,40,19,2,180,19980817,M,New_Haven,R32
1779,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Todd Woodbridge,Total,44,12,27,11,25,11,1,163,19981102,M,Paris_Masters,R32
1800,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Marcelo Rios,Total,56,26,41,22,41,22,1,232,19981102,M,Paris_Masters,R32
1821,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Pete Sampras,Total,53,25,39,19,39,19,3,152,19981123,M,Tour_Finals,RR
1842,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Carlos Moya,Total,60,20,25,12,25,12,2,114,19981123,M,Tour_Finals,RR
1862,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Pete Sampras,Total,40,20,32,17,32,17,0,177,19981123,M,Tour_Finals,RR
1883,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Karol Kucera,Total,38,6,21,4,21,4,0,102,19981123,M,Tour_Finals,RR
1904,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Marcelo Rios,Total,81,38,69,35,67,35,1,456,19990508,M,Hamburg_Masters,SF
1925,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Carlos Moya,Total,69,26,58,25,56,25,1,382,19990508,M,Hamburg_Masters,SF
1946,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Todd Martin,Total,151,45,101,41,91,41,7,508,19990912,M,US_Open,F
1967,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Andre Agassi,Total,142,49,90,42,86,42,5,414,19990912,M,US_Open,F
1988,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,44,10,30,8,27,8,2,132,19991122,M,Tour_Finals,RR
2009,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,50,24,33,19,33,19,2,133,19991122,M,Tour_Finals,RR
2028,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Bob Bryan,Total,46,8,27,4,27,4,1,110,20000612,M,Queens_Club,QF
2048,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Pete Sampras,Total,63,23,38,22,37,22,7,163,20000612,M,Queens_Club,QF
2069,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Pete Sampras,Total,81,21,58,20,55,20,0,363,20000910,M,US_Open,F
2090,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Marat Safin,Total,78,29,43,25,42,25,4,179,20000910,M,US_Open,F
2110,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Marat Safin,Total,65,19,49,16,48,16,1,319,20001127,M,Tour_Finals,SF
2131,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Andre Agassi,Total,65,30,55,29,52,29,2,298,20001127,M,Tour_Finals,SF
2152,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Nicolas Lapentti,Total,37,11,28,10,26,10,0,165,20010312,M,Indian_Wells,QF
2172,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Andre Agassi,Total,47,29,35,24,34,24,1,235,20010312,M,Indian_Wells,QF
2193,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Pete Sampras,Total,60,13,30,9,30,9,0,159,20010319,M,Miami_Masters,R32
2214,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Andy Roddick,Total,70,29,40,24,40,24,7,162,20010319,M,Miami_Masters,R32
2235,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Roger Federer,Total,189,62,102,53,95,53,12,398,20010702,M,Wimbledon,R16
2255,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Pete Sampras,Total,181,53,98,47,86,47,8,398,20010702,M,Wimbledon,R16
2276,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Goran Ivanisevic,Total,140,43,84,39,79,39,11,313,20010709,M,Wimbledon,F
2297,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Patrick Rafter,Total,164,53,80,37,74,37,7,351,20010709,M,Wimbledon,F
2317,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,77,22,49,17,47,17,1,312,20010909,M,US_Open,F
2337,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,99,45,62,39,60,39,7,230,20010909,M,US_Open,F
2358,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Patrick Rafter,Total,50,18,45,18,44,18,1,230,20011112,M,Masters_Cup,RR
2379,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Andre Agassi,Total,66,35,44,28,43,28,5,166,20011112,M,Masters_Cup,RR
2399,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,53,23,36,20,35,20,1,185,20020428,M,Houston,SF
2419,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,67,21,39,18,34,18,3,167,20020428,M,Houston,SF
2440,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,David Nalbandian,Total,79,28,58,26,55,26,0,425,20020707,M,Wimbledon,F
2460,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,Lleyton Hewitt,Total,89,50,69,43,69,43,0,566,20020707,M,Wimbledon,F
2480,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,125,47,91,43,83,43,6,422,20020908,M,US_Open,F
2500,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,152,48,77,35,72,35,5,317,20020908,M,US_Open,F
2520,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Andre Agassi,Total,58,18,40,16,36,16,1,284,20021111,M,Masters_Cup,RR
2541,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Jiri Novak,Total,59,27,43,24,42,24,1,261,20021111,M,Masters_Cup,RR
2562,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Rainer Schuettler,Total,58,15,43,14,39,14,0,326,20030126,M,Australian_Open,F
2580,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Andre Agassi,Total,65,37,53,33,50,33,3,318,20030126,M,Australian_Open,F
2600,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,David Ferrer,Total,81,26,52,23,50,23,2,254,20030505,M,Rome_Masters,R64
2621,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,Andre Agassi,Total,115,47,85,42,82,42,4,443,20030505,M,Rome_Masters,R64
2642,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Roger Federer,Total,53,18,40,18,35,18,1,205,20030804,M,Canada_Masters,R16
2663,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Tommy Robredo,Total,55,12,32,11,32,11,2,158,20030804,M,Canada_Masters,R16
2684,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Andy Roddick,Total,90,33,65,32,62,32,2,394,20030907,M,US_Open,F
2704,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,87,19,42,17,41,17,2,236,20030907,M,US_Open,F
2724,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Roger Federer,Total,53,27,35,20,30,20,2,161,20031110,M,Masters_Cup,RR
2745,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,49,13,28,12,27,12,3,161,20031110,M,Masters_Cup,RR
2766,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Gaston Gaudio,Total,135,67,116,61,109,61,1,980,20040606,M,Roland_Garros,F
2787,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Guillermo Coria,Total,149,69,120,60,113,60,1,827,20040606,M,Roland_Garros,F
2808,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,133,52,89,47,87,47,1,446,20040704,M,Wimbledon,F
2828,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,154,56,111,53,105,53,5,491,20040704,M,Wimbledon,F
2848,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Andy Roddick,Total,67,24,52,23,52,23,1,256,20040726,M,Canada_Masters,R32
2869,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Feliciano Lopez,Total,58,10,28,10,26,10,0,144,20040726,M,Canada_Masters,R32
2890,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Karol Beck,Total,38,6,26,6,23,6,0,160,20041025,M,St_Petersburg,F
2911,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Mikhail Youzhny,Total,60,30,45,27,43,27,2,273,20041025,M,St_Petersburg,F
2932,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Roger Federer,Total,41,21,34,20,31,20,1,165,20050221,M,Dubai,SF
2952,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Andre Agassi,Total,51,15,28,12,26,12,1,157,20050221,M,Dubai,SF
2973,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Roger Federer,Total,47,23,33,21,33,21,0,244,20050318,M,Indian_Wells_Masters,SF
2994,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Guillermo Canas,Total,56,21,39,19,39,19,0,241,20050318,M,Indian_Wells_Masters,SF
3015,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,90,35,60,34,58,34,0,320,20050703,M,Wimbledon,F
3036,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,79,17,54,17,52,17,0,298,20050703,M,Wimbledon,F
3057,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Roger Federer,Total,131,57,108,53,101,53,3,622,20050911,M,US_Open,F
3078,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Andre Agassi,Total,107,32,65,32,64,32,3,303,20050911,M,US_Open,F
3099,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,David Nalbandian,Total,76,43,62,42,60,42,3,444,20060123,M,Australian_Open,QF
3120,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,Fabrice Santoro,Total,64,17,57,17,53,17,0,323,20060123,M,Australian_Open,QF
3141,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,111,35,91,35,86,35,0,610,20060611,M,Roland_Garros,F
3161,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,119,45,99,44,93,44,0,539,20060611,M,Roland_Garros,F
3182,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Roger Federer,Total,69,31,50,30,49,30,0,283,20060627,M,Wimbledon,R128
3203,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,70,15,45,14,45,14,0,228,20060627,M,Wimbledon,R128
3224,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Roger Federer,Total,116,42,82,35,76,35,1,391,20070909,M,US_Open,F
3245,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,105,28,70,24,65,24,0,441,20070909,M,US_Open,F
3265,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,46,23,35,22,35,22,0,236,20071022,M,Basel,R16
3286,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,51,14,29,13,29,13,1,170,20071022,M,Basel,R16
3307,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Roger Federer,Total,49,16,37,15,33,15,0,206,20071028,M,Basel,F
3328,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Jarkko Nieminen,Total,56,15,38,15,38,15,0,229,20071028,M,Basel,F
3349,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,Rafael Nadal,Total,41,7,31,7,30,7,0,164,20071028,M,Paris_Masters,F
3369,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,David Nalbandian,Total,47,23,40,22,39,22,3,257,20071028,M,Paris_Masters,F
3390,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Total,62,24,49,22,49,22,0,292,20071112,M,Masters_Cup,RR
3411,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Richard Gasquet,Total,47,26,39,24,39,24,1,265,20071112,M,Masters_Cup,RR
3432,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,39,16,31,15,28,15,1,206,20071112,M,Masters_Cup,SF
3453,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,48,11,28,11,26,11,1,149,20071112,M,Masters_Cup,SF
3474,20080608-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,61,19,56,19,54,19,0,406,20080608,M,Roland_Garros,F
3494,20080608-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,77,46,69,46,69,46,1,347,20080608,M,Roland_Garros,F
3514,20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal,Andy Roddick,Total,61,14,46,14,45,14,1,259,20080614,M,Queens_Club,SF
3535,20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal,Rafael Nadal,Total,71,24,39,21,39,21,3,246,20080614,M,Queens_Club,SF
3556,20080727-M-Canada_Masters-F-Nicolas_Kiefer-Rafael_Nadal,Nicolas Kiefer,Total,52,14,40,13,40,13,1,239,20080727,M,Canada_Masters,F
