,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
14687,20150312-M-Indian_Wells_Masters-R128-Andreas_Haider_Maurer-Borna_Coric,Andreas Haider Maurer,Total,53,12,31,11,30,11,0,220,20150312,M,Indian_Wells_Masters,R128
14708,20150312-M-Indian_Wells_Masters-R128-Andreas_Haider_Maurer-Borna_Coric,Borna Coric,Total,58,24,41,22,41,22,0,322,20150312,M,Indian_Wells_Masters,R128
14729,20150313-M-Indian_Wells_Masters-R128-Sam_Querrey-Sergiy_Stakhovsky,Sam Querrey,Total,67,24,53,24,49,24,6,219,20150313,M,Indian_Wells_Masters,R128
14750,20150313-M-Indian_Wells_Masters-R128-Sam_Querrey-Sergiy_Stakhovsky,Sergiy Stakhovsky,Total,78,26,41,22,34,22,0,162,20150313,M,Indian_Wells_Masters,R128
14771,20150315-M-Indian_Wells_Masters-R64-Diego_Schwartzman-Roger_Federer,Diego Schwartzman,Total,47,11,25,10,24,10,0,141,20150315,M,Indian_Wells_Masters,R64
14792,20150315-M-Indian_Wells_Masters-R64-Diego_Schwartzman-Roger_Federer,Roger Federer,Total,58,27,48,25,47,25,2,223,20150315,M,Indian_Wells_Masters,R64
14813,20150316-M-Indian_Wells_Masters-R32-David_Ferrer-Bernard_Tomic,David Ferrer,Total,86,33,63,32,63,32,0,464,20150316,M,Indian_Wells_Masters,R32
14834,20150316-M-Indian_Wells_Masters-R32-David_Ferrer-Bernard_Tomic,Bernard Tomic,Total,62,24,45,17,45,17,0,387,20150316,M,Indian_Wells_Masters,R32
14855,20150316-M-Indian_Wells_Masters-R32-Feliciano_Lopez-Pablo_Cuevas,Feliciano Lopez,Total,78,29,55,27,53,27,1,407,20150316,M,Indian_Wells_Masters,R32
14876,20150316-M-Indian_Wells_Masters-R32-Feliciano_Lopez-Pablo_Cuevas,Pablo Cuevas,Total,85,27,48,23,47,23,0,306,20150316,M,Indian_Wells_Masters,R32
14897,20150318-M-Indian_Wells_Masters-R16-Milos_Raonic-Tommy_Robredo,Milos Raonic,Total,51,24,35,21,35,21,0,210,20150318,M,Indian_Wells_Masters,R16
14918,20150318-M-Indian_Wells_Masters-R16-Milos_Raonic-Tommy_Robredo,Tommy Robredo,Total,47,10,24,7,24,7,0,124,20150318,M,Indian_Wells_Masters,R16
14938,20150320-M-Indian_Wells_Masters-QF-Tomas_Berdych-Roger_Federer,Tomas Berdych,Total,40,8,27,7,27,7,0,137,20150320,M,Indian_Wells_Masters,QF
14959,20150320-M-Indian_Wells_Masters-QF-Tomas_Berdych-Roger_Federer,Roger Federer,Total,57,29,41,24,41,24,2,241,20150320,M,Indian_Wells_Masters,QF
14980,20150321-M-Indian_Wells_Masters-QF-Milos_Raonic-Rafael_Nadal,Milos Raonic,Total,103,25,68,24,68,24,0,395,20150321,M,Indian_Wells_Masters,QF
15001,20150321-M-Indian_Wells_Masters-QF-Milos_Raonic-Rafael_Nadal,Rafael Nadal,Total,119,38,70,32,70,32,2,339,20150321,M,Indian_Wells_Masters,QF
15022,20150321-M-Indian_Wells_Masters-SF-Milos_Raonic-Roger_Federer,Milos Raonic,Total,63,16,43,16,43,16,0,223,20150321,M,Indian_Wells_Masters,SF
15043,20150321-M-Indian_Wells_Masters-SF-Milos_Raonic-Roger_Federer,Roger Federer,Total,64,20,39,19,39,19,0,201,20150321,M,Indian_Wells_Masters,SF
15064,20150325-M-Miami_Masters-R128-Diego_Schwartzman-Dominic_Thiem,Diego Schwartzman,Total,74,33,57,29,56,29,1,293,20150325,M,Miami_Masters,R128
15085,20150325-M-Miami_Masters-R128-Diego_Schwartzman-Dominic_Thiem,Dominic Thiem,Total,85,44,75,38,74,38,2,413,20150325,M,Miami_Masters,R128
15106,20150325-M-Miami_Masters-R64-Vasek_Pospisil-Juan_Martin_Del_Potro,Vasek Pospisil,Total,73,26,40,19,39,19,1,246,20150325,M,Miami_Masters,R64
15127,20150325-M-Miami_Masters-R64-Vasek_Pospisil-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,71,19,36,12,36,12,0,241,20150325,M,Miami_Masters,R64
15148,20150328-M-Miami_Masters-R64-Mikhail_Youzhny-Kei_Nishikori,Mikhail Youzhny,Total,47,14,39,12,33,12,3,201,20150328,M,Miami_Masters,R64
15169,20150328-M-Miami_Masters-R64-Mikhail_Youzhny-Kei_Nishikori,Kei Nishikori,Total,64,35,53,29,47,29,0,241,20150328,M,Miami_Masters,R64
15190,20150328-M-Miami_Masters-R64-Tim_Smyczek-Jo_Wilfried_Tsonga,Tim Smyczek,Total,72,18,48,17,48,17,0,257,20150328,M,Miami_Masters,R64
15211,20150328-M-Miami_Masters-R64-Tim_Smyczek-Jo_Wilfried_Tsonga,Jo Wilfried Tsonga,Total,94,34,68,29,68,29,0,421,20150328,M,Miami_Masters,R64
15232,20150329-M-Miami_Masters-R32-Leonardo_Mayer-Kevin_Anderson,Leonardo Mayer,Total,62,20,36,17,36,17,1,205,20150329,M,Miami_Masters,R32
15253,20150329-M-Miami_Masters-R32-Leonardo_Mayer-Kevin_Anderson,Kevin Anderson,Total,53,21,36,17,36,17,1,204,20150329,M,Miami_Masters,R32
15274,20150330-M-Miami_Masters-R32-Viktor_Troicki-Kei_Nishikori,Viktor Troicki,Total,40,10,24,7,24,7,1,151,20150330,M,Miami_Masters,R32
15295,20150330-M-Miami_Masters-R32-Viktor_Troicki-Kei_Nishikori,Kei Nishikori,Total,49,26,35,24,35,24,0,219,20150330,M,Miami_Masters,R32
15316,20150331-M-San_Luis_Potosi_CH-R32-Giovanni_Lapentti-Chase_Buchanan,Giovanni Lapentti,Total,62,33,45,28,45,28,0,284,20150331,M,San_Luis_Potosi_CH,R32
15337,20150331-M-San_Luis_Potosi_CH-R32-Giovanni_Lapentti-Chase_Buchanan,Chase Buchanan,Total,57,20,39,16,39,16,0,209,20150331,M,San_Luis_Potosi_CH,R32
15358,20150401-M-Miami_Masters-QF-Dominic_Thiem-Andy_Murray,Dominic Thiem,Total,65,18,41,16,40,16,0,229,20150401,M,Miami_Masters,QF
15379,20150401-M-Miami_Masters-QF-Dominic_Thiem-Andy_Murray,Andy Murray,Total,82,34,62,29,62,29,1,375,20150401,M,Miami_Masters,QF
15400,20150405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,106,48,86,45,82,45,2,647,20150405,M,Miami_Masters,F
15421,20150405-M-Miami_Masters-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,92,37,72,33,70,33,4,437,20150405,M,Miami_Masters,F
15442,20150406-M-Casablanca-R32-Carlos_Berlocq-Pablo_Carreno_Busta,Carlos Berlocq,Total,140,59,120,56,118,56,1,690,20150406,M,Casablanca,R32
15463,20150406-M-Casablanca-R32-Carlos_Berlocq-Pablo_Carreno_Busta,Pablo Carreno Busta,Total,118,45,95,43,93,43,3,639,20150406,M,Casablanca,R32
15484,20150407-M-Casablanca-R32-Nicolas_Almagro-Taro_Daniel,Nicolas Almagro,Total,45,24,42,24,39,24,2,315,20150407,M,Casablanca,R32
15504,20150407-M-Casablanca-R32-Nicolas_Almagro-Taro_Daniel,Taro Daniel,Total,48,14,35,13,34,13,0,171,20150407,M,Casablanca,R32
15525,20150408-M-Casablanca-R16-Carlos_Berlocq-Nicolas_Almagro,Carlos Berlocq,Total,65,16,48,14,45,14,0,247,20150408,M,Casablanca,R16
15546,20150408-M-Casablanca-R16-Carlos_Berlocq-Nicolas_Almagro,Nicolas Almagro,Total,78,27,57,24,56,24,0,383,20150408,M,Casablanca,R16
15567,20150409-M-Casablanca-R16-Daniel_Gimeno_Traver-Mikhail_Kukushkin,Daniel Gimeno Traver,Total,51,28,43,24,40,24,1,275,20150409,M,Casablanca,R16
15588,20150409-M-Casablanca-R16-Daniel_Gimeno_Traver-Mikhail_Kukushkin,Mikhail Kukushkin,Total,29,5,20,5,17,5,1,76,20150409,M,Casablanca,R16
15609,20150410-M-Casablanca-QF-Nicolas_Almagro-Martin_Klizan,Nicolas Almagro,Total,64,16,44,11,43,11,0,275,20150410,M,Casablanca,QF
15629,20150410-M-Casablanca-QF-Nicolas_Almagro-Martin_Klizan,Martin Klizan,Total,83,31,55,26,54,26,3,289,20150410,M,Casablanca,QF
15650,20150413-M-Monte_Carlo_Masters-R64-Borna_Coric-Alexandr_Dolgopolov,Borna Coric,Total,101,36,74,32,70,32,0,393,20150413,M,Monte_Carlo_Masters,R64
15671,20150413-M-Monte_Carlo_Masters-R64-Borna_Coric-Alexandr_Dolgopolov,Alexandr Dolgopolov,Total,88,38,62,29,55,29,6,333,20150413,M,Monte_Carlo_Masters,R64
15692,20150413-M-Monte_Carlo_Masters-R64-Mikhail_Kukushkin-Philipp_Kohlschreiber,Mikhail Kukushkin,Total,53,20,41,20,39,20,2,213,20150413,M,Monte_Carlo_Masters,R64
15713,20150413-M-Monte_Carlo_Masters-R64-Mikhail_Kukushkin-Philipp_Kohlschreiber,Philipp Kohlschreiber,Total,60,31,41,27,40,27,0,279,20150413,M,Monte_Carlo_Masters,R64
