,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
0,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Bjorn Borg,Total,53,26,25,12,2,0,1,0,0,19751219,M,Davis_Cup_World_Group_F,RR
18,19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,Jiri Hrebec,Total,57,30,24,10,3,1,0,2,0,19751219,M,Davis_Cup_World_Group_F,RR
36,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Brian Gottfried,Total,41,8,30,16,3,3,0,0,0,19780125,M,Pepsi_Grand_Slam,SF
54,19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,Bjorn Borg,Total,47,25,21,9,1,0,1,0,0,19780125,M,Pepsi_Grand_Slam,SF
72,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,175,23,49,25,43,20,11,7,0,19800705,M,Wimbledon,F
90,19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,151,34,7,2,44,18,11,12,0,19800705,M,Wimbledon,F
108,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Bjorn Borg,Total,64,18,45,5,1,0,1,0,0,19810607,M,Roland_Garros,F
125,19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,Ivan Lendl,Total,59,13,46,5,0,0,0,0,0,19810607,M,Roland_Garros,F
143,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,107,47,55,11,5,5,0,0,0,19810704,M,Wimbledon,F
161,19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,94,59,31,1,4,1,1,2,0,19810704,M,Wimbledon,F
179,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,84,28,53,7,3,1,1,1,0,19810913,M,US_Open,F
197,19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,78,48,24,2,6,3,2,1,0,19810913,M,US_Open,F
214,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,95,19,73,12,3,2,1,0,0,19820912,M,US_Open,F
232,19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,97,27,64,4,6,0,4,2,0,19820912,M,US_Open,F
250,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,44,8,34,11,2,1,1,0,0,19840506,M,Forest_Hills_WCT,F
268,19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,34,18,15,2,1,0,0,1,0,19840506,M,Forest_Hills_WCT,F
286,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,69,27,40,3,2,0,2,0,0,19840909,M,US_Open,F
304,19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,34,13,19,0,2,1,0,1,0,19840909,M,US_Open,F
321,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Boris Becker,Total,86,32,41,2,13,5,7,1,0,19850707,M,Wimbledon,F
339,19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren,Kevin Curren,Total,66,41,24,0,1,1,0,0,0,19850707,M,Wimbledon,F
357,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,61,17,38,6,6,3,3,0,0,19850908,M,US_Open,F
375,19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,63,24,33,1,6,0,2,4,0,19850908,M,US_Open,F
393,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,John Mcenroe,Total,44,14,29,9,1,1,0,0,0,19870901,M,US_Open,QF
411,19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl,Ivan Lendl,Total,50,36,12,2,2,1,1,0,0,19870901,M,US_Open,QF
429,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Mats Wilander,Total,123,19,101,14,3,3,0,0,0,19880911,M,US_Open,F
447,19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,Ivan Lendl,Total,161,45,111,3,5,5,0,0,0,19880911,M,US_Open,F
465,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,70,28,38,0,4,2,1,1,0,19890709,M,Wimbledon,F
483,19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,63,31,29,0,4,3,1,0,0,19890709,M,Wimbledon,F
501,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,98,15,79,5,3,1,2,0,0,19890910,M,US_Open,F
518,19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,85,49,32,1,4,1,2,1,0,19890910,M,US_Open,F
536,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Total,83,43,36,0,4,1,3,0,0,19900128,M,Australian_Open,F
554,19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,Stefan Edberg,Total,72,4,63,7,3,1,2,0,0,19900128,M,Australian_Open,F
571,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,22,13,7,1,2,2,0,0,0,19900611,M,Queens_Club,F
589,19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,36,18,14,4,4,1,2,1,0,19900611,M,Queens_Club,F
607,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Andre Agassi,Total,45,16,25,1,4,4,0,0,0,19900909,M,US_Open,F
625,19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,Pete Sampras,Total,87,11,71,10,5,4,0,1,0,19900909,M,US_Open,F
642,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Ivan Lendl,Total,75,23,49,2,3,1,2,0,0,19910127,M,Australian_Open,F
660,19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker,Boris Becker,Total,75,17,53,11,4,2,1,1,0,19910127,M,Australian_Open,F
678,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,44,31,12,0,1,1,0,0,0,19910908,M,US_Open,F
696,19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,77,20,53,5,4,2,2,0,0,19910908,M,US_Open,F
713,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,85,41,42,3,2,2,0,0,0,19920126,M,Australian_Open,F
731,19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,91,14,67,11,10,7,3,0,0,19920126,M,Australian_Open,F
749,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,John Mcenroe,Total,58,10,46,21,1,0,0,1,0,19920704,M,Wimbledon,SF
767,19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,Andre Agassi,Total,47,17,6,3,0,0,0,0,0,19920704,M,Wimbledon,SF
785,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Pete Sampras,Total,81,26,52,1,3,1,1,0,1,19920913,M,US_Open,F
803,19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,Stefan Edberg,Total,90,24,59,12,7,2,4,1,0,19920913,M,US_Open,F
821,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Cedric Pioline,Total,36,11,21,2,4,2,2,0,0,19930912,M,US_Open,F
839,19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,Pete Sampras,Total,70,14,55,5,1,0,1,0,0,19930912,M,US_Open,F
856,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,84,16,62,12,6,3,2,1,0,19950129,M,Australian_Open,F
873,19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,86,17,57,13,10,3,5,2,0,19950129,M,Australian_Open,F
891,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,84,55,21,5,9,4,1,3,0,19950709,M,Wimbledon,F
908,19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,45,23,20,1,2,0,1,1,0,19950709,M,Wimbledon,F
926,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,89,17,64,11,8,2,5,1,0,19950910,M,US_Open,F
941,19950910-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,66,15,43,6,8,3,4,1,0,19950910,M,US_Open,F
958,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Michael Chang,Total,65,25,38,4,2,1,0,1,0,19960128,M,Australian_Open,F
976,19960128-M-Australian_Open-F-Michael_Chang-Boris_Becker,Boris Becker,Total,81,9,58,7,14,6,7,1,0,19960128,M,Australian_Open,F
994,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Pete Sampras,Total,54,17,32,4,5,2,0,3,0,19960908,M,US_Open,F
1012,19960908-M-US_Open-F-Pete_Sampras-Michael_Chang,Michael Chang,Total,55,17,37,7,1,1,0,0,0,19960908,M,US_Open,F
1030,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,33,6,24,10,3,1,2,0,0,19961119,M,Tour_Finals,RR
1048,19961119-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,19,6,11,4,2,2,0,0,0,19961119,M,Tour_Finals,RR
1065,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Sergi Bruguera,Total,70,21,45,7,4,2,1,1,0,19970608,M,Roland_Garros,F
1082,19970608-M-Roland_Garros-F-Sergi_Bruguera-Gustavo_Kuerten,Gustavo Kuerten,Total,102,17,83,20,2,1,1,0,0,19970608,M,Roland_Garros,F
1100,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Patrick Rafter,Total,76,45,30,4,1,1,0,0,0,19970907,M,US_Open,F
1118,19970907-M-US_Open-F-Patrick_Rafter-Greg_Rusedski,Greg Rusedski,Total,67,42,21,1,3,1,1,1,0,19970907,M,US_Open,F
1136,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,42,22,18,6,2,0,2,0,0,19970923,M,Grand_Slam_Cup,QF
1154,19970923-M-Grand_Slam_Cup-QF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,31,18,13,0,0,0,0,0,0,19970923,M,Grand_Slam_Cup,QF
1171,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Pete Sampras,Total,30,5,25,15,0,0,0,0,0,19971020,M,Stuttgart_Masters,R32
1189,19971020-M-Stuttgart_Masters-R32-Pete_Sampras-Magnus_Gustafsson,Magnus Gustafsson,Total,40,21,16,6,3,1,1,1,0,19971020,M,Stuttgart_Masters,R32
1207,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Pete Sampras,Total,57,15,41,15,1,1,0,0,0,19971027,M,Paris_Masters,SF
1225,19971027-M-Paris_Masters-SF-Pete_Sampras-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,36,19,17,8,0,0,0,0,0,19971027,M,Paris_Masters,SF
1242,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Patrick Rafter,Total,23,13,10,3,0,0,0,0,0,19971110,M,Tour_Finals,RR
1260,19971110-M-Tour_Finals-RR-Patrick_Rafter-Pete_Sampras,Pete Sampras,Total,44,26,17,5,1,0,1,0,0,19971110,M,Tour_Finals,RR
1278,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,53,26,27,9,0,0,0,0,0,19971110,M,Tour_Finals,SF
1296,19971110-M-Tour_Finals-SF-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,36,14,20,9,2,0,2,0,0,19971110,M,Tour_Finals,SF
1314,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Petr Korda,Total,51,11,37,8,3,0,3,0,0,19980201,M,Australian_Open,F
1331,19980201-M-Australian_Open-F-Petr_Korda-Marcelo_Rios,Marcelo Rios,Total,53,11,39,7,2,1,0,1,0,19980201,M,Australian_Open,F
1349,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,40,7,31,12,2,0,2,0,0,19980209,M,San_Jose,F
1367,19980209-M-San_Jose-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,36,15,20,5,1,0,0,1,0,19980209,M,San_Jose,F
1385,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Pete Sampras,Total,40,10,30,7,0,0,0,0,0,19980223,M,Philadelphia,F
1403,19980223-M-Philadelphia-F-Pete_Sampras-Thomas_Enqvist,Thomas Enqvist,Total,43,17,25,8,1,0,0,1,0,19980223,M,Philadelphia,F
1421,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Goran Ivanisevic,Total,78,40,36,1,2,1,0,1,0,19980705,M,Wimbledon,F
1439,19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,Pete Sampras,Total,75,55,20,0,0,0,0,0,0,19980705,M,Wimbledon,F
1457,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Yevgeny Kafelnikov,Total,30,25,3,2,2,1,1,0,0,19980810,M,Cincinnati_Masters,SF
1475,19980810-M-Cincinnati_Masters-SF-Yevgeny_Kafelnikov-Patrick_Rafter,Patrick Rafter,Total,42,11,28,8,3,1,1,1,0,19980810,M,Cincinnati_Masters,SF
1493,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,40,13,26,8,1,0,1,0,0,19980817,M,New_Haven,R32
1511,19980817-M-New_Haven-R32-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,41,24,16,4,1,1,0,0,0,19980817,M,New_Haven,R32
1529,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Todd Woodbridge,Total,27,7,18,7,2,1,1,0,0,19981102,M,Paris_Masters,R32
1547,19981102-M-Paris_Masters-R32-Todd_Woodbridge-Marcelo_Rios,Marcelo Rios,Total,41,11,30,11,0,0,0,0,0,19981102,M,Paris_Masters,R32
1565,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Pete Sampras,Total,39,17,22,8,0,0,0,0,0,19981123,M,Tour_Finals,RR
1583,19981123-M-Tour_Finals-RR-Pete_Sampras-Carlos_Moya,Carlos Moya,Total,25,15,10,0,0,0,0,0,0,19981123,M,Tour_Finals,RR
1601,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Pete Sampras,Total,32,4,28,13,0,0,0,0,0,19981123,M,Tour_Finals,RR
1619,19981123-M-Tour_Finals-RR-Pete_Sampras-Karol_Kucera,Karol Kucera,Total,21,15,6,1,0,0,0,0,0,19981123,M,Tour_Finals,RR
1637,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Marcelo Rios,Total,69,17,50,17,2,1,1,0,0,19990508,M,Hamburg_Masters,SF
1655,19990508-M-Hamburg_Masters-SF-Marcelo_Rios-Carlos_Moya,Carlos Moya,Total,58,18,38,12,2,0,1,1,0,19990508,M,Hamburg_Masters,SF
1673,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Todd Martin,Total,101,7,84,10,10,7,1,1,0,19990912,M,US_Open,F
1691,19990912-M-US_Open-F-Todd_Martin-Andre_Agassi,Andre Agassi,Total,90,15,71,3,4,2,1,1,0,19990912,M,US_Open,F
1709,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,30,7,20,8,3,0,3,0,0,19991122,M,Tour_Finals,RR
1727,19991122-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,33,14,19,0,0,0,0,0,0,19991122,M,Tour_Finals,RR
1744,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Bob Bryan,Total,27,20,7,0,0,0,0,0,0,20000612,M,Queens_Club,QF
1762,20000612-M-Queens_Club-QF-Bob_Bryan-Pete_Sampras,Pete Sampras,Total,38,25,12,2,1,0,1,0,0,20000612,M,Queens_Club,QF
1780,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Pete Sampras,Total,58,7,48,6,3,1,2,0,0,20000910,M,US_Open,F
1798,20000910-M-US_Open-F-Pete_Sampras-Marat_Safin,Marat Safin,Total,43,14,27,0,1,0,1,0,0,20000910,M,US_Open,F
1816,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Marat Safin,Total,49,7,40,16,1,0,1,0,0,20001127,M,Tour_Finals,SF
1834,20001127-M-Tour_Finals-SF-Marat_Safin-Andre_Agassi,Andre Agassi,Total,55,14,34,12,3,1,0,1,1,20001127,M,Tour_Finals,SF
1852,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Nicolas Lapentti,Total,28,13,13,6,2,1,1,0,0,20010312,M,Indian_Wells,QF
1869,20010312-M-Indian_Wells-QF-Nicolas_Lapentti-Andre_Agassi,Andre Agassi,Total,35,11,23,10,1,0,1,0,0,20010312,M,Indian_Wells,QF
1887,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Pete Sampras,Total,30,12,18,7,0,0,0,0,0,20010319,M,Miami_Masters,R32
1905,20010319-M-Miami_Masters-R32-Pete_Sampras-Andy_Roddick,Andy Roddick,Total,40,14,26,3,0,0,0,0,0,20010319,M,Miami_Masters,R32
1923,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Roger Federer,Total,102,53,41,0,7,4,2,0,0,20010702,M,Wimbledon,R16
1941,20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,Pete Sampras,Total,98,36,50,4,12,4,2,5,0,20010702,M,Wimbledon,R16
1959,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Goran Ivanisevic,Total,84,43,35,3,5,3,1,1,0,20010709,M,Wimbledon,F
1977,20010709-M-Wimbledon-F-Goran_Ivanisevic-Patrick_Rafter,Patrick Rafter,Total,80,37,37,0,6,1,1,3,0,20010709,M,Wimbledon,F
1995,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Pete Sampras,Total,49,4,43,6,2,1,1,0,0,20010909,M,US_Open,F
2012,20010909-M-US_Open-F-Pete_Sampras-Lleyton_Hewitt,Lleyton Hewitt,Total,62,30,29,1,2,2,0,0,0,20010909,M,US_Open,F
2030,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Patrick Rafter,Total,45,15,29,12,1,1,0,0,0,20011112,M,Masters_Cup,RR
2048,20011112-M-Masters_Cup-RR-Patrick_Rafter-Andre_Agassi,Andre Agassi,Total,44,39,4,1,1,0,1,0,0,20011112,M,Masters_Cup,RR
2065,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,36,10,25,8,1,0,1,0,0,20020428,M,Houston,SF
2082,20020428-M-Houston-SF-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,39,17,16,7,5,3,1,1,0,20020428,M,Houston,SF
2100,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,David Nalbandian,Total,58,16,39,6,3,1,1,1,0,20020707,M,Wimbledon,F
2117,20020707-M-Wimbledon-F-David_Nalbandian-Lleyton_Hewitt,Lleyton Hewitt,Total,69,11,58,10,0,0,0,0,0,20020707,M,Wimbledon,F
2134,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,91,14,69,16,8,1,5,1,0,20020908,M,US_Open,F
2151,20020908-M-US_Open-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,77,27,45,1,5,4,1,0,0,20020908,M,US_Open,F
2168,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Andre Agassi,Total,40,10,26,9,4,0,1,3,0,20021111,M,Masters_Cup,RR
2186,20021111-M-Masters_Cup-RR-Andre_Agassi-Jiri_Novak,Jiri Novak,Total,43,9,33,10,1,1,0,0,0,20021111,M,Masters_Cup,RR
2204,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Rainer Schuettler,Total,43,8,31,2,4,3,0,1,0,20030126,M,Australian_Open,F
2219,20030126-M-Australian_Open-F-Rainer_Schuettler-Andre_Agassi,Andre Agassi,Total,53,6,44,8,3,2,1,0,0,20030126,M,Australian_Open,F
2236,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,David Ferrer,Total,52,15,34,19,2,0,1,1,0,20030505,M,Rome_Masters,R64
2254,20030505-M-Rome_Masters-R64-David_Ferrer-Andre_Agassi,Andre Agassi,Total,85,16,65,24,3,3,0,0,0,20030505,M,Rome_Masters,R64
2272,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Roger Federer,Total,40,13,22,12,5,3,2,0,0,20030804,M,Canada_Masters,R16
2290,20030804-M-Canada_Masters-R16-Roger_Federer-Tommy_Robredo,Tommy Robredo,Total,32,15,17,7,0,0,0,0,0,20030804,M,Canada_Masters,R16
2308,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Andy Roddick,Total,65,19,43,10,3,1,2,0,0,20030907,M,US_Open,F
2325,20030907-M-US_Open-F-Andy_Roddick-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,42,17,24,9,1,1,0,0,0,20030907,M,US_Open,F
2342,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Roger Federer,Total,35,7,23,11,5,5,0,0,0,20031110,M,Masters_Cup,RR
2360,20031110-M-Masters_Cup-RR-Roger_Federer-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,28,9,18,6,1,0,0,1,0,20031110,M,Masters_Cup,RR
2378,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Gaston Gaudio,Total,116,16,93,21,7,1,5,1,0,20040606,M,Roland_Garros,F
2396,20040606-M-Roland_Garros-F-Gaston_Gaudio-Guillermo_Coria,Guillermo Coria,Total,120,24,87,19,7,2,3,2,0,20040606,M,Roland_Garros,F
2414,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,89,38,49,14,2,1,1,0,0,20040704,M,Wimbledon,F
2431,20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,111,33,72,14,6,4,2,0,0,20040704,M,Wimbledon,F
2448,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Andy Roddick,Total,52,25,27,8,0,0,0,0,0,20040726,M,Canada_Masters,R32
2466,20040726-M-Canada_Masters-R32-Andy_Roddick-Feliciano_Lopez,Feliciano Lopez,Total,28,11,15,6,2,1,1,0,0,20040726,M,Canada_Masters,R32
2484,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Karol Beck,Total,26,4,19,11,3,0,3,0,0,20041025,M,St_Petersburg,F
2502,20041025-M-St_Petersburg-F-Karol_Beck-Mikhail_Youzhny,Mikhail Youzhny,Total,45,6,37,16,2,2,0,0,0,20041025,M,St_Petersburg,F
2520,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Roger Federer,Total,34,7,24,16,3,2,1,0,0,20050221,M,Dubai,SF
2537,20050221-M-Dubai-SF-Roger_Federer-Andre_Agassi,Andre Agassi,Total,28,7,19,7,2,0,2,0,0,20050221,M,Dubai,SF
2555,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Roger Federer,Total,33,14,19,7,0,0,0,0,0,20050318,M,Indian_Wells_Masters,SF
2573,20050318-M-Indian_Wells_Masters-SF-Roger_Federer-Guillermo_Canas,Guillermo Canas,Total,39,7,32,19,0,0,0,0,0,20050318,M,Indian_Wells_Masters,SF
2591,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,60,18,40,6,2,1,1,0,0,20050703,M,Wimbledon,F
2609,20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,54,16,36,6,2,0,1,1,0,20050703,M,Wimbledon,F
2627,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Roger Federer,Total,108,21,80,26,7,3,2,1,1,20050911,M,US_Open,F
2645,20050911-M-US_Open-F-Roger_Federer-Andre_Agassi,Andre Agassi,Total,65,18,46,20,1,0,1,0,0,20050911,M,US_Open,F
2663,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,David Nalbandian,Total,62,19,41,6,2,1,1,0,0,20060123,M,Australian_Open,QF
2681,20060123-M-Australian_Open-QF-David_Nalbandian-Fabrice_Santoro,Fabrice Santoro,Total,57,9,44,17,4,2,2,0,0,20060123,M,Australian_Open,QF
2699,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,91,18,68,12,5,2,0,2,0,20060611,M,Roland_Garros,F
2716,20060611-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,99,23,69,8,6,1,4,1,0,20060611,M,Roland_Garros,F
2734,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Roger Federer,Total,50,8,38,12,1,0,1,0,0,20060627,M,Wimbledon,R128
2752,20060627-M-Wimbledon-R128-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,45,17,25,9,0,0,0,0,0,20060627,M,Wimbledon,R128
2770,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Roger Federer,Total,82,21,55,6,6,6,0,0,0,20070909,M,US_Open,F
2788,20070909-M-US_Open-F-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,70,15,50,9,5,1,4,0,0,20070909,M,US_Open,F
2805,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,35,6,27,11,0,0,0,0,0,20071022,M,Basel,R16
2823,20071022-M-Basel-R16-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,29,5,22,18,0,0,0,0,0,20071022,M,Basel,R16
2841,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Roger Federer,Total,37,9,24,10,4,2,1,1,0,20071028,M,Basel,F
2859,20071028-M-Basel-F-Roger_Federer-Jarkko_Nieminen,Jarkko Nieminen,Total,38,14,24,9,0,0,0,0,0,20071028,M,Basel,F
2877,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,Rafael Nadal,Total,31,13,17,7,1,0,1,0,0,20071028,M,Paris_Masters,F
2894,20071028-M-Paris_Masters-F-Rafael_Nadal-David_Nalbandian,David Nalbandian,Total,40,12,27,14,1,0,0,1,0,20071028,M,Paris_Masters,F
2912,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Total,49,7,42,21,0,0,0,0,0,20071112,M,Masters_Cup,RR
2930,20071112-M-Masters_Cup-RR-Novak_Djokovic-Richard_Gasquet,Richard Gasquet,Total,39,7,32,10,0,0,0,0,0,20071112,M,Masters_Cup,RR
2948,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,31,6,22,8,3,0,3,0,0,20071112,M,Masters_Cup,SF
2966,20071112-M-Masters_Cup-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,28,16,10,3,2,1,0,1,0,20071112,M,Masters_Cup,SF
