,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
74288,20210209-M-Australian_Open-R128-Hubert_Hurkacz-Mikael_Ymer,Hubert Hurkacz,Total,144,30,112,53,5,1,4,0,0,20210209,M,Australian_Open,R128
74306,20210209-M-Australian_Open-R128-Hubert_Hurkacz-Mikael_Ymer,Mikael Ymer,Total,92,22,65,35,6,0,5,1,0,20210209,M,Australian_Open,R128
74324,20160717-M-Hamburg-F-Martin_Klizan-Pablo_Cuevas,Martin Klizan,Total,28,5,20,1,3,0,1,1,1,20160717,M,Hamburg,F
74341,20160717-M-Hamburg-F-Martin_Klizan-Pablo_Cuevas,Pablo Cuevas,Total,35,7,28,2,0,0,0,0,0,20160717,M,Hamburg,F
74358,20170508-M-Madrid_Masters-R64-Gael_Monfils-Gilles_Simon,Gael Monfils,Total,68,12,49,16,7,1,5,1,0,20170508,M,Madrid_Masters,R64
74376,20170508-M-Madrid_Masters-R64-Gael_Monfils-Gilles_Simon,Gilles Simon,Total,53,21,29,13,3,0,3,0,0,20170508,M,Madrid_Masters,R64
74394,20210317-M-Dubai-R16-Taylor_Fritz-Andrey_Rublev,Taylor Fritz,Total,26,0,0,0,7,1,2,4,0,20210317,M,Dubai,R16
74411,20210317-M-Dubai-R16-Taylor_Fritz-Andrey_Rublev,Andrey Rublev,Total,40,0,0,0,4,1,2,1,0,20210317,M,Dubai,R16
74428,20210327-M-Miami_Masters-R64-Aslan_Karatsev-Mikhail_Kukushkin,Aslan Karatsev,Total,41,0,0,0,6,1,3,2,0,20210327,M,Miami_Masters,R64
74446,20210327-M-Miami_Masters-R64-Aslan_Karatsev-Mikhail_Kukushkin,Mikhail Kukushkin,Total,42,0,0,0,1,0,1,0,0,20210327,M,Miami_Masters,R64
74464,20210329-M-Miami_Masters-R32-Marin_Cilic-Lorenzo_Musetti,Marin Cilic,Total,37,0,0,0,3,2,0,1,0,20210329,M,Miami_Masters,R32
74481,20210329-M-Miami_Masters-R32-Marin_Cilic-Lorenzo_Musetti,Lorenzo Musetti,Total,40,0,0,0,4,1,3,0,0,20210329,M,Miami_Masters,R32
74499,19850106-M-Young_Masters-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,36,5,30,6,1,1,0,0,0,19850106,M,Young_Masters,F
74517,19850106-M-Young_Masters-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,23,6,15,2,2,1,1,0,0,19850106,M,Young_Masters,F
74535,20210208-M-Australian_Open-R128-Elias_Ymer-Diego_Schwartzman,Elias Ymer,Total,104,26,81,39,3,1,1,1,0,20210208,M,Australian_Open,R128
74553,20210208-M-Australian_Open-R128-Elias_Ymer-Diego_Schwartzman,Diego Schwartzman,Total,93,31,60,19,4,4,0,0,0,20210208,M,Australian_Open,R128
74571,20210415-M-Orlando_CH-R16-Aleksandar_Kovacevic-Christian_Harrison,Aleksandar Kovacevic,Total,34,0,0,0,4,1,1,0,1,20210415,M,Orlando_CH,R16
74589,20210415-M-Orlando_CH-R16-Aleksandar_Kovacevic-Christian_Harrison,Christian Harrison,Total,40,0,0,0,4,2,0,1,0,20210415,M,Orlando_CH,R16
74607,20210303-M-Rotterdam-R16-Andy_Murray-Andrey_Rublev,Andy Murray,Total,51,0,0,0,6,4,2,0,0,20210303,M,Rotterdam,R16
74624,20210303-M-Rotterdam-R16-Andy_Murray-Andrey_Rublev,Andrey Rublev,Total,39,0,0,0,2,2,0,0,0,20210303,M,Rotterdam,R16
74642,20210211-M-Australian_Open-R64-Daniil_Medvedev-Roberto_Carballes_Baena,Daniil Medvedev,Total,67,0,0,0,3,2,1,0,0,20210211,M,Australian_Open,R64
74660,20210211-M-Australian_Open-R64-Daniil_Medvedev-Roberto_Carballes_Baena,Roberto Carballes Baena,Total,51,0,0,0,2,0,1,1,0,20210211,M,Australian_Open,R64
74678,19860413-M-Dallas_WCT-SF-Boris_Becker-Stefan_Edberg,Boris Becker,Total,53,14,36,0,3,2,0,1,0,19860413,M,Dallas_WCT,SF
74696,19860413-M-Dallas_WCT-SF-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,32,12,17,2,3,1,1,1,0,19860413,M,Dallas_WCT,SF
74714,19920509-M-Hamburg_Masters-SF-Carlos_Costa-Stefan_Edberg,Carlos Costa,Total,52,18,31,2,3,1,0,1,1,19920509,M,Hamburg_Masters,SF
74732,19920509-M-Hamburg_Masters-SF-Carlos_Costa-Stefan_Edberg,Stefan Edberg,Total,58,14,38,1,6,3,1,2,0,19920509,M,Hamburg_Masters,SF
74750,20080308-M-Dubai-F-Andy_Roddick-Feliciano_Lopez,Andy Roddick,Total,52,13,39,1,0,0,0,0,0,20080308,M,Dubai,F
74768,20080308-M-Dubai-F-Andy_Roddick-Feliciano_Lopez,Feliciano Lopez,Total,41,4,34,5,2,1,0,1,0,20080308,M,Dubai,F
74786,19861102-M-Paris_Masters-F-Sergio_Casal-Boris_Becker,Sergio Casal,Total,57,19,36,4,2,0,1,0,1,19861102,M,Paris_Masters,F
74803,19861102-M-Paris_Masters-F-Sergio_Casal-Boris_Becker,Boris Becker,Total,79,18,58,5,3,2,1,0,0,19861102,M,Paris_Masters,F
74821,20210425-M-Barcelona-F-Rafael_Nadal-Stefanos_Tsitsipas,Rafael Nadal,Total,100,22,72,6,6,2,3,1,0,20210425,M,Barcelona,F
74839,20210425-M-Barcelona-F-Rafael_Nadal-Stefanos_Tsitsipas,Stefanos Tsitsipas,Total,105,21,79,14,5,1,3,1,0,20210425,M,Barcelona,F
74857,20210430-M-Estoril-QF-Cristian_Garin-Cameron_Norrie,Cristian Garin,Total,79,21,54,13,2,0,1,0,0,20210430,M,Estoril,QF
74874,20210430-M-Estoril-QF-Cristian_Garin-Cameron_Norrie,Cameron Norrie,Total,80,18,56,13,6,3,1,1,1,20210430,M,Estoril,QF
74892,20210301-M-Rotterdam-R32-Felix_Auger_Aliassime-Kei_Nishikori,Felix Auger Aliassime,Total,48,0,0,0,3,2,0,1,0,20210301,M,Rotterdam,R32
74909,20210301-M-Rotterdam-R32-Felix_Auger_Aliassime-Kei_Nishikori,Kei Nishikori,Total,35,0,0,0,2,1,0,1,0,20210301,M,Rotterdam,R32
74927,20210501-M-Estoril-SF-Marin_Cilic-Cameron_Norrie,Marin Cilic,Total,55,10,39,9,4,1,2,1,0,20210501,M,Estoril,SF
74945,20210501-M-Estoril-SF-Marin_Cilic-Cameron_Norrie,Cameron Norrie,Total,49,6,40,12,1,0,0,1,0,20210501,M,Estoril,SF
74963,20210302-M-Rotterdam-R32-Stan_Wawrinka-Karen_Khachanov,Stan Wawrinka,Total,49,0,0,0,6,4,2,0,0,20210302,M,Rotterdam,R32
74981,20210302-M-Rotterdam-R32-Stan_Wawrinka-Karen_Khachanov,Karen Khachanov,Total,50,0,0,0,1,1,0,0,0,20210302,M,Rotterdam,R32
74999,19950213-M-Milan-F-Yevgeny_Kafelnikov-Boris_Becker,Yevgeny Kafelnikov,Total,57,13,37,0,7,4,2,1,0,19950213,M,Milan,F
75017,19950213-M-Milan-F-Yevgeny_Kafelnikov-Boris_Becker,Boris Becker,Total,87,15,62,5,10,5,2,3,0,19950213,M,Milan,F
75035,20210502-M-Estoril-F-Albert_Ramos-Cameron_Norrie,Albert Ramos,Total,95,29,57,17,5,1,4,0,0,20210502,M,Estoril,F
75053,20210502-M-Estoril-F-Albert_Ramos-Cameron_Norrie,Cameron Norrie,Total,75,7,61,18,6,1,5,0,0,20210502,M,Estoril,F
75071,20020224-M-Memphis-F-James_Blake-Andy_Roddick,James Blake,Total,52,10,41,4,1,0,1,0,0,20020224,M,Memphis,F
75089,20020224-M-Memphis-F-James_Blake-Andy_Roddick,Andy Roddick,Total,72,13,55,1,4,3,1,0,0,20020224,M,Memphis,F
75107,20210504-M-Madrid_Masters-R64-Casper_Ruud-Felix_Auger_Aliassime,Casper Ruud,Total,48,16,30,8,2,0,2,0,0,20210504,M,Madrid_Masters,R64
75125,20210504-M-Madrid_Masters-R64-Casper_Ruud-Felix_Auger_Aliassime,Felix Auger Aliassime,Total,33,4,28,12,1,0,1,0,0,20210504,M,Madrid_Masters,R64
