,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,w_return_depth_very_deep,w_return_depth_shallow,w_return_depth_deep,w_return_depth_err_net,w_return_depth_err_deep,w_return_depth_err_wide,w_return_depth_wide_deep,w_shot_Direction_crosscourt,w_shot_Direction_down_middle,w_shot_Direction_down_the_line,w_shot_Direction_inside_out,w_shot_Direction_inside_in,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,l_return_depth_very_deep,l_return_depth_shallow,l_return_depth_deep,l_return_depth_err_net,l_return_depth_err_deep,l_return_depth_err_wide,l_return_depth_wide_deep,l_shot_Direction_crosscourt,l_shot_Direction_down_middle,l_shot_Direction_down_the_line,l_shot_Direction_inside_out,l_shot_Direction_inside_in,label
162,1339,42947.0,2019-0407,Rotterdam,Hard,32.0,A,20190211.0,276.0,104312.0,,,Andreas Seppi,R,190.0,ITA,34.9,105376.0,,Q,Peter Gojowczyk,R,185.0,GER,29.5,7-6(3) 3-6 6-2,3.0,R32,115.0,11.0,4.0,93.0,57.0,40.0,18.0,15.0,6.0,10.0,7.0,6.0,91.0,42.0,28.0,24.0,14.0,4.0,8.0,40.0,1060.0,61.0,770.0,20190211-M-Rotterdam-R32-Peter_Gojowczyk-Andreas_Seppi,14.0,6.0,10.0,14.0,91.0,39.0,17.0,18.0,46.0,2.0,0.0,1.0,0.0,93.0,61.0,34.0,16.0,1.0,15.0,8.0,25.0,15.0,93.0,35.0,28.0,7.0,55.0,0.0,3.0,2.0,0.0,115,42,33,30,0,0.0
163,1341,42842.0,2019-7434,Sofia,Hard,32.0,A,20190204.0,300.0,106421.0,3.0,,Daniil Medvedev,R,198.0,RUS,22.9,105916.0,,,Marton Fucsovics,R,188.0,HUN,26.9,6-4 6-3,3.0,F,81.0,6.0,1.0,59.0,30.0,21.0,16.0,9.0,2.0,3.0,4.0,2.0,60.0,38.0,28.0,3.0,10.0,5.0,9.0,16.0,2000.0,47.0,959.0,20190210-M-Sofia-F-Marton_Fucsovics-Daniil_Medvedev,5.0,3.0,11.0,7.0,60.0,29.0,15.0,11.0,28.0,0.0,1.0,0.0,0.0,77.0,79.0,23.0,32.0,0.0,8.0,5.0,16.0,15.0,59.0,22.0,9.0,15.0,26.0,1.0,2.0,0.0,0.0,74,81,22,26,2,0.0
164,1348,42936.0,2019-0407,Rotterdam,Hard,32.0,A,20190211.0,287.0,106421.0,5.0,,Daniil Medvedev,R,198.0,RUS,23.0,104269.0,,,Fernando Verdasco,L,188.0,ESP,35.2,6-2 7-5,3.0,R16,93.0,1.0,2.0,60.0,30.0,23.0,16.0,10.0,1.0,2.0,1.0,2.0,74.0,47.0,25.0,14.0,10.0,7.0,11.0,16.0,2160.0,26.0,1455.0,20190214-M-Rotterdam-R16-Fernando_Verdasco-Daniil_Medvedev,3.0,2.0,12.0,7.0,74.0,35.0,23.0,11.0,49.0,1.0,0.0,0.0,0.0,112.0,85.0,25.0,17.0,0.0,11.0,4.0,28.0,15.0,60.0,21.0,14.0,3.0,36.0,0.0,2.0,2.0,0.0,123,66,31,34,2,0.0
165,1349,42927.0,2019-0407,Rotterdam,Hard,32.0,A,20190211.0,296.0,104527.0,,WC,Stan Wawrinka,R,183.0,SUI,33.8,133430.0,10.0,,Denis Shapovalov,L,185.0,CAN,19.8,6-4 7-6(4),3.0,QF,89.0,3.0,0.0,64.0,32.0,25.0,19.0,11.0,0.0,2.0,3.0,7.0,65.0,44.0,34.0,6.0,11.0,5.0,8.0,68.0,740.0,25.0,1485.0,20190215-M-Rotterdam-QF-Denis_Shapovalov-Stan_Wawrinka,5.0,6.0,10.0,7.0,65.0,25.0,12.0,13.0,28.0,0.0,0.0,0.0,0.0,62.0,44.0,10.0,18.0,0.0,12.0,8.0,13.0,10.0,64.0,20.0,18.0,7.0,32.0,1.0,2.0,0.0,0.0,60,29,18,25,3,0.0
166,1352,42901.0,2019-0424,New York,Hard,32.0,A,20190211.0,295.0,111790.0,,Q,Brayden Schnur,R,193.0,CAN,23.6,103893.0,,,Paolo Lorenzi,R,183.0,ITA,37.1,6-7(7) 7-6(5) 7-5,3.0,QF,159.0,24.0,3.0,119.0,89.0,72.0,12.0,18.0,3.0,3.0,6.0,2.0,118.0,79.0,60.0,22.0,18.0,2.0,3.0,154.0,367.0,111.0,493.0,20190215-M-New_York-QF-Paolo_Lorenzi-Brayden_Schnur,23.0,11.0,17.0,22.0,118.0,36.0,29.0,12.0,68.0,2.0,1.0,3.0,0.0,102.0,64.0,49.0,63.0,7.0,15.0,16.0,12.0,10.0,119.0,35.0,19.0,19.0,48.0,1.0,0.0,0.0,0.0,146,57,31,48,2,0.0
167,1373,43093.0,2019-0495,Dubai,Hard,32.0,A,20190225.0,281.0,104792.0,,,Gael Monfils,R,193.0,FRA,32.4,105227.0,3.0,,Marin Cilic,R,198.0,CRO,30.4,6-3 4-6 6-0,3.0,R32,105.0,7.0,1.0,62.0,36.0,29.0,16.0,12.0,0.0,1.0,1.0,1.0,87.0,54.0,36.0,12.0,13.0,8.0,13.0,23.0,1560.0,10.0,3095.0,20190226-M-Dubai-R32-Marin_Cilic-Gael_Monfils,18.0,3.0,6.0,16.0,87.0,39.0,16.0,17.0,55.0,2.0,0.0,2.0,0.0,84.0,77.0,15.0,21.0,3.0,15.0,5.0,27.0,13.0,62.0,17.0,13.0,8.0,30.0,2.0,2.0,0.0,0.0,106,46,18,57,13,0.0
168,1380,43050.0,2019-M004,Acapulco,Hard,32.0,A,20190225.0,293.0,106401.0,,,Nick Kyrgios,R,193.0,AUS,23.8,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,32.7,3-6 7-6(2) 7-6(6),3.0,R16,183.0,21.0,6.0,127.0,78.0,64.0,22.0,16.0,9.0,10.0,8.0,3.0,105.0,64.0,54.0,26.0,17.0,1.0,1.0,72.0,750.0,2.0,8320.0,20190227-M-Acapulco-R16-Rafael_Nadal-Nick_Kyrgios,24.0,14.0,26.0,20.0,105.0,25.0,18.0,21.0,43.0,2.0,2.0,2.0,2.0,88.0,34.0,23.0,24.0,6.0,25.0,5.0,6.0,9.0,127.0,41.0,19.0,28.0,45.0,2.0,2.0,1.0,0.0,75,41,25,25,9,0.0
169,1383,42955.0,2019-0499,Delray Beach,Hard,32.0,A,20190218.0,299.0,105430.0,,,Radu Albot,R,175.0,MDA,29.2,111456.0,,,Mackenzie Mcdonald,R,178.0,USA,23.8,3-6 6-0 6-0,3.0,SF,90.0,6.0,2.0,52.0,31.0,22.0,12.0,10.0,2.0,4.0,2.0,7.0,74.0,42.0,20.0,12.0,11.0,8.0,15.0,82.0,680.0,84.0,673.0,20190223-M-Delray_Beach-SF-Mackenzie_Mcdonald-Radu_Albot,7.0,4.0,9.0,6.0,74.0,42.0,15.0,12.0,37.0,1.0,1.0,1.0,0.0,54.0,33.0,16.0,23.0,4.0,7.0,7.0,14.0,19.0,52.0,18.0,13.0,6.0,26.0,2.0,4.0,0.0,0.0,64,35,18,22,3,0.0
170,1386,43057.0,2019-M004,Acapulco,Hard,32.0,A,20190225.0,286.0,100644.0,2.0,,Alexander Zverev,R,198.0,GER,21.8,103970.0,,WC,David Ferrer,R,175.0,ESP,36.9,7-6(0) 6-1,3.0,R16,88.0,9.0,6.0,62.0,37.0,29.0,15.0,10.0,3.0,4.0,0.0,2.0,59.0,36.0,23.0,9.0,9.0,3.0,6.0,3.0,6475.0,145.0,400.0,20190227-M-Acapulco-R16-David_Ferrer-Alexander_Zverev,10.0,7.0,12.0,12.0,59.0,27.0,7.0,12.0,35.0,0.0,0.0,0.0,0.0,68.0,57.0,14.0,44.0,1.0,3.0,0.0,13.0,14.0,62.0,18.0,6.0,8.0,23.0,4.0,2.0,0.0,0.0,55,91,19,20,2,0.0
171,1388,43076.0,2019-0495,Dubai,Hard,32.0,A,20190225.0,298.0,103819.0,2.0,,Roger Federer,R,185.0,SUI,37.5,106432.0,6.0,,Borna Coric,R,188.0,CRO,22.2,6-2 6-2,3.0,SF,67.0,7.0,1.0,44.0,25.0,20.0,13.0,8.0,0.0,0.0,1.0,1.0,59.0,37.0,20.0,9.0,8.0,5.0,9.0,7.0,4100.0,13.0,2605.0,20190301-M-Dubai-SF-Borna_Coric-Roger_Federer,6.0,9.0,5.0,9.0,59.0,30.0,13.0,11.0,32.0,1.0,2.0,0.0,0.0,41.0,30.0,10.0,8.0,1.0,6.0,4.0,16.0,9.0,44.0,11.0,9.0,3.0,20.0,2.0,4.0,1.0,0.0,52,22,11,19,3,0.0
